null_raster,SES_affluence_R
1,505.089982951346
1,503.032524853218
1,514.374490055037
1,492.477278102528
1,494.939398933179
1,534.718694080507
1,527.819926733258
1,504.831422476933
1,517.771491860444
1,503.008037245417
1,511.912702560425
1,509.130085084497
1,543.462849222171
1,507.756760880754
1,513.658232097384
1,499.062020501425
1,502.022498663218
1,517.16161998402
1,513.048197642866
1,514.0719005111
1,500.002000546027
1,511.721252798337
1,512.627910702728
1,525.096390413951
1,499.971198564694
1,501.980395687328
1,526.000005054474
1,518.441864545955
1,518.094020941319
1,518.932493475419
1,504.067489811248
1,513.26994220757
1,509.492572857316
1,509.032132619835
1,515.141419566761
1,502.048222283897
1,536.645477206721
1,510.80392655516
1,500.019612839643
1,515.348789947712
1,522.084340658532
1,546.548657150742
1,490.775055118865
1,491.476194981166
1,504.787884018638
1,527.709405947954
1,513.380956856864
1,513.061407691554
1,501.000005086263
1,516.337427899881
1,501.000004867835
1,508.070710985588
1,516.250549216676
1,510.316775588515
1,501.00000493398
1,498.058828017291
1,499.924735579952
1,516.594546580175
1,521.080324655556
1,515.403296859176
1,522.084341761578
1,517.064261746694
1,505.930970231457
1,507.097566092887
1,518.964076150677
1,520.157092302695
1,526.406508562042
1,510.202459042789
1,505.192876371947
1,514.131316768762
1,515.583337211609
1,507.903357692019
1,503.096439961367
1,535.810130445263
1,506.020084610905
1,515.583337402344
1,518.932494151441
1,512.530402993256
1,516.527953817237
1,529.769845235915
1,498.890300412721
1,512.044180904526
1,506.050508256392
1,498.991972130465
1,515.880956468128
1,511.91270337786
1,504.267979042203
1,498.890299833274
1,512.31687738866
1,521.325206849633
1,516.337427244596
1,522.212124171402
1,506.780352112875
1,527.915118104923
1,528.777781441098
1,525.844725140874
1,521.576135140878
1,514.211386052574
1,505.21941366075
1,507.862749256807
