null_raster,layer_C
1,335.470989761092
1,314.993174061433
1,321.819112627986
1,325.232081911263
1,338.883959044369
1,314.993174061433
1,321.819112627986
1,349.122866894198
1,280.863481228669
1,369.600682593857
1,318.40614334471
1,328.645051194539
1,297.928327645051
1,338.883959044369
1,308.167235494881
1,298.945205479452
1,304.754266211604
1,359.361774744027
1,304.754266211604
1,342.296928327645
1,308.167235494881
1,338.883959044369
1,328.645051194539
1,342.296928327645
1,349.122866894198
1,333.191780821918
1,325.232081911263
1,335.470989761092
1,321.819112627986
1,321.819112627986
1,304.754266211604
1,325.232081911263
1,332.058020477816
1,328.645051194539
1,297.928327645051
1,345.709897610921
1,301.341296928328
1,301.341296928328
1,335.470989761092
1,318.40614334471
1,328.645051194539
1,316.068493150685
1,328.645051194539
1,321.819112627986
1,312.643835616438
1,321.819112627986
1,338.883959044369
1,303.405498281787
1,359.361774744027
1,325.232081911263
1,311.580204778157
1,329.767123287671
1,314.993174061433
1,302.369863013699
1,325.232081911263
1,332.058020477816
1,312.643835616438
1,342.296928327645
1,291.102389078498
1,311.580204778157
1,349.122866894198
1,321.819112627986
1,325.232081911263
1,342.296928327645
1,325.232081911263
1,335.470989761092
1,311.580204778157
1,352.535836177474
1,342.296928327645
1,343.465753424658
1,308.167235494881
1,332.058020477816
1,349.122866894198
1,318.40614334471
1,333.191780821918
1,295.520547945206
1,318.40614334471
1,328.645051194539
1,297.928327645051
1,362.774744027304
1,279.350515463918
1,321.819112627986
1,321.819112627986
1,301.341296928328
1,294.515358361775
1,325.232081911263
1,311.580204778157
1,325.232081911263
1,301.341296928328
1,335.470989761092
1,328.645051194539
1,321.819112627986
1,325.232081911263
1,294.515358361775
1,325.232081911263
1,318.40614334471
1,277.450511945392
1,335.470989761092
1,287.689419795222
1,332.058020477816
