null_raster,layer_R
1,4.34470989761092
1,4.13993174061433
1,4.20819112627987
1,4.24232081911263
1,4.37883959044369
1,4.13993174061433
1,4.20819112627986
1,4.48122866894198
1,3.79863481228669
1,4.68600682593857
1,4.1740614334471
1,4.27645051194539
1,3.96928327645051
1,4.37883959044368
1,4.07167235494881
1,3.97945205479452
1,4.03754266211604
1,4.58361774744027
1,4.03754266211604
1,4.41296928327645
1,4.07167235494881
1,4.37883959044368
1,4.27645051194539
1,4.41296928327645
1,4.48122866894198
1,4.32191780821918
1,4.24232081911263
1,4.34470989761092
1,4.20819112627986
1,4.20819112627986
1,4.03754266211604
1,4.24232081911263
1,4.31058020477816
1,4.27645051194539
1,3.96928327645051
1,4.44709897610921
1,4.00341296928328
1,4.00341296928328
1,4.34470989761092
1,4.1740614334471
1,4.27645051194539
1,4.15068493150685
1,4.27645051194539
1,4.20819112627986
1,4.11643835616439
1,4.20819112627986
1,4.37883959044368
1,4.02405498281787
1,4.58361774744027
1,4.24232081911263
1,4.10580204778157
1,4.28767123287671
1,4.13993174061433
1,4.01369863013699
1,4.24232081911263
1,4.31058020477816
1,4.11643835616439
1,4.41296928327645
1,3.90102389078498
1,4.10580204778157
1,4.48122866894198
1,4.20819112627986
1,4.24232081911263
1,4.41296928327645
1,4.24232081911263
1,4.34470989761092
1,4.10580204778157
1,4.51535836177474
1,4.41296928327645
1,4.42465753424657
1,4.07167235494881
1,4.31058020477816
1,4.48122866894198
1,4.1740614334471
1,4.32191780821918
1,3.94520547945205
1,4.1740614334471
1,4.27645051194539
1,3.96928327645051
1,4.61774744027304
1,3.78350515463918
1,4.20819112627986
1,4.20819112627986
1,4.00341296928328
1,3.93515358361775
1,4.24232081911263
1,4.10580204778157
1,4.24232081911263
1,4.00341296928328
1,4.34470989761092
1,4.27645051194539
1,4.20819112627986
1,4.24232081911263
1,3.93515358361775
1,4.24232081911263
1,4.1740614334471
1,3.76450511945392
1,4.34470989761092
1,3.86689419795222
1,4.31058020477816
