LR1_coefficients_null_raster	LR1_coefficients_per_pop_2025_CN_100m_R2025A_v1_R	LR1_R2_null_raster	LR1_R2_per_pop_2025_CN_100m_R2025A_v1_R	LR1_Q_per_pop_2025_CN_100m_R2025A_v1_R	LR2_coefficients_null_raster	LR2_coefficients_per_pop_2025_CN_100m_R2025A_v1_R	LR2_R2_null_raster	LR2_R2_per_pop_2025_CN_100m_R2025A_v1_R	LR2_Q_per_pop_2025_CN_100m_R2025A_v1_R
0.00808319879766488	1.0633676976917e-05	0.0680460808636331	0.0700866015968513	0.00204052073321813	0.000212659239937081	3.65900868487751e-10	0.023627947097201	0.0250875129105211	0.00145956581332009
0.00608534727201069	7.94157105258986e-06	0.0381397077429607	0.0393704141938606	0.00123070645089984	0.000192609715445078	3.21284885330163e-10	0.0148145802383847	0.0155247846299834	0.000710204391598692
0.00738076768061965	9.56740298134917e-06	0.0321266303103642	0.0323196722633334	0.000193041952969167	0.000189280336941092	3.17923007788943e-10	0.00750242136300959	0.00766590456922133	0.000163483206211739
0.00811271045593552	1.03539268423468e-05	0.0578309119084697	0.0570415886614202	-0.00078932324704948	0.000205016856727856	3.30637191378422e-10	0.0144653076724984	0.0140124564568134	-0.00045285121568495
0.0104634706960162	1.37771308395837e-05	0.0711128838404799	0.0732506815802291	0.00213779773974924	0.000268420950403798	4.70238147122941e-10	0.0160358134840423	0.0174862301432713	0.00145041665922905
0.00907119670998722	1.18294099954591e-05	0.0813669899309473	0.0824607307143023	0.00109374078335502	0.00029139597136192	4.91553148445221e-10	0.0311639434100819	0.03187233956635	0.000708396156268026
0.0091724832664205	1.17150770603454e-05	0.0855684691929471	0.0850827830982236	-0.000485686094723492	0.000246446098959038	3.9231367689772e-10	0.0247088366031376	0.0240379045207153	-0.000670932082422315
0.00548105516758877	7.17349826325009e-06	0.028289211343838	0.0293727403066775	0.00108352896283944	0.000183575923260575	3.07200052439677e-10	0.0133337110212833	0.013839562773964	0.000505851752680732
0.0151899597263702	1.99224256918462e-05	0.190302431507655	0.194961283381398	0.00465885187374301	0.00064139182321414	1.11035504596771e-09	0.109963256428143	0.116916529883583	0.00695327345543999
0.0104909344365721	1.35940979823678e-05	0.0663964975044658	0.0668971611679836	0.000500663663517822	0.000338134391604518	5.67525393203279e-10	0.0251356525280022	0.0258056505255063	0.000669997997504085
0.00674856291572191	8.71434495867143e-06	0.0294649055518642	0.0298524500053888	0.000387544453524607	0.000163540866379258	2.69444897530526e-10	0.00721958452587491	0.00735151399831593	0.000131929472441014
0.0106212300000533	1.39067115256017e-05	0.10377234325391	0.106338943573526	0.00256660031961674	0.000414800959400155	6.97324070135024e-10	0.0578918339026447	0.0597369299449589	0.00184509604231419
0.0124770287553981	1.62917904766955e-05	0.109291478751312	0.112528907989846	0.00323742923853398	0.000447393740039111	7.4602176477624e-10	0.0529820767374041	0.0544295242160723	0.00144744747866815
0.00898934727558691	1.14606349632591e-05	0.0864728902716362	0.0849263051009951	-0.00154658517064109	0.000242956554699919	3.93712205634873e-10	0.0308885281883874	0.0302903871119902	-0.000598141076397208
0.0120477258849348	1.55333349772953e-05	0.0909727244137373	0.0908600096742576	-0.000112714739479727	0.000372199377137748	6.12781060937972e-10	0.0346029745464403	0.0346993483426116	9.63737961712438e-05
0.000849417140460153	1.03486367730373e-06	0.0012238240092659	0.00107802421728374	-0.000145799791982155	2.58298906885388e-05	3.74010909763642e-11	0.000825886549563927	0.00060777122340169	-0.000218115326162237
0.00810870144926852	1.06148442712033e-05	0.051688771346754	0.0529440238383981	0.00125525249164413	0.000226607395678859	3.82621133671113e-10	0.014084661362641	0.0145643102634617	0.000479648900820704
