null_raster,per_pop_2025_CN_100m_R2025A_v1_R
1,51.585881209202
1,54.0193332173064
1,53.0397194394198
1,52.9165458130322
1,51.5072812367153
1,55.1970874139241
1,53.0934134341301
1,52.8036840096326
1,51.2597957404692
1,53.926203442638
1,52.5302939656852
1,51.8916898625238
1,52.5297853990035
1,51.707317465323
1,53.2858900269159
1,54.7742334798718
1,52.8520924103218
1,52.9273051234847
1,52.0492003713335
1,51.1273765493842
1,52.1122394582277
1,53.3989909557586
1,53.4800354285206
1,54.3801040982867
1,52.6413130845039
1,53.9162291858507
1,52.0596701361916
1,54.3396354951623
1,51.5776224136353
1,53.1754089776307
1,52.9850385249745
1,51.5468539231115
1,52.7331325558649
1,54.028165432385
1,53.3634161302022
1,51.7076607266918
1,54.749270026467
1,51.8088031976873
1,53.9815948060948
1,51.3602225928953
1,52.8261760746349
1,52.2774477248644
1,50.8996805444464
1,50.5913208836801
1,54.09775224296
1,52.1031752799055
1,52.3403260916994
1,52.2142471425673
1,52.7798084502525
1,52.4411297872607
1,51.6067116226948
1,52.4784536327513
1,49.5603383006161
1,52.6360847362574
1,52.8397162558816
1,51.5990955659321
1,51.768287755441
1,52.4278758881797
1,52.0028736633463
1,51.75557914968
1,54.5273004593832
1,53.309873711291
1,54.600435802902
1,52.7333559658064
1,54.3881553800303
1,53.7471242447694
1,52.2126259648843
1,53.9172170881791
1,49.636087243275
1,52.0565602198085
1,51.8625462037804
1,53.2250195562621
1,52.1274862086519
1,52.6111831040816
1,53.7214223198269
1,52.3859430982712
1,51.3456222147182
1,52.138681600382
1,52.230118897178
1,50.7657825024701
1,51.2211078699084
1,51.9085579324276
1,51.4511198111943
1,52.0147534416856
1,51.709809561217
1,52.9840088497202
1,49.3620576199618
1,51.1203571374271
1,53.1523686119051
1,52.0509617176462
1,53.6063316218993
1,54.0039982591357
1,52.0542752377927
1,53.8505754094825
1,53.3854779727022
1,53.670492664684
1,53.2207408682273
1,53.6593868097813
1,51.1645368867922
1,52.6246636380504
