null_raster,per_pop_2025_CN_100m_R2025A_v1_C
1,6.05858813429908
1,6.3019333291652
1,6.20397196076133
1,6.19165460154307
1,6.05072811683575
1,6.419708734325
1,6.20934134594938
1,6.18036840499287
1,6.02597957271248
1,6.29262034324565
1,6.15302942887596
1,6.08916898540088
1,6.15297853816639
1,6.0707317409692
1,6.22858899788891
1,6.37742336760176
1,6.18520925986809
1,6.19273052063394
1,6.10492002197674
1,6.01273766992723
1,6.11122396000824
1,6.23989910859588
1,6.2480035694383
1,6.338010430336
1,6.16413129266895
1,6.29162292765534
1,6.10596702488986
1,6.33396356013133
1,6.05776225332844
1,6.21754090726588
1,6.19850385839289
1,6.05468540740528
1,6.17331325532734
1,6.30281655362674
1,6.23634161864008
1,6.07076608101814
1,6.3749270213734
1,6.08088032375683
1,6.29815948481182
1,6.03602226575216
1,6.18261762012135
1,6.12774478823599
1,5.98996805644536
1,5.95913207825839
1,6.30977523284147
1,6.1103175432562
1,6.13403261795379
1,6.12142472582705
1,6.17798085077435
1,6.14411297606713
1,6.06067116495589
1,6.14784535968603
1,5.85603382510524
1,6.16360847457596
1,6.18397162350741
1,6.05990955574172
1,6.07682877779007
1,6.14278759754879
1,6.10028736456544
1,6.07555794199451
1,6.3527300581605
1,6.23098740003092
1,6.36004359998565
1,6.17333561771519
1,6.33881554894123
1,6.27471243590117
1,6.12126261232562
1,6.29172170032154
1,5.86360872689114
1,6.10565601642056
1,6.0862546393471
1,6.22250195300623
1,6.11274863938068
1,6.16111830711365
1,6.27214223146439
1,6.13859432597533
1,6.03456221974414
1,6.11386816580217
1,6.12301190723073
1,5.9765782846391
1,6.02211082111234
1,6.09085580347277
1,6.04511198486601
1,6.10147534416856
1,6.07098096630327
1,6.19840090182139
1,5.83620576771823
1,6.01203572109181
1,6.21523686206384
1,6.1050961913792
1,6.26063315395047
1,6.30039981859071
1,6.10542752649436
1,6.28505755239918
1,6.2385477876999
1,6.26704926924272
1,6.22207408925913
1,6.26593869795902
1,6.01645368783075
1,6.1624663686413
