null_raster,SES_affluence_C
1,226.255972696246
1,226.255972696246
1,231.034129692833
1,235.129692832764
1,222.160409556314
1,261.068259385666
1,257.655290102389
1,241.273037542662
1,228.986348122867
1,228.986348122867
1,237.860068259385
1,230.351535836177
1,242.638225255973
1,207.143344709898
1,224.890784982935
1,235.246575342466
1,224.20819112628
1,237.17747440273
1,235.81228668942
1,218.064846416382
1,228.303754266212
1,241.955631399317
1,244.003412969283
1,244.003412969283
1,221.477815699659
1,234.561643835616
1,235.81228668942
1,248.098976109215
1,224.890784982935
1,228.303754266212
1,225.573378839591
1,231.716723549488
1,220.795221843003
1,233.081911262799
1,235.81228668942
1,218.747440273038
1,262.433447098976
1,216.017064846416
1,232.399317406143
1,216.017064846416
1,241.955631399317
1,251.684931506849
1,216.699658703072
1,233.081911262799
1,244.835616438356
1,231.034129692833
1,248.78156996587
1,217.494845360825
1,222.160409556314
1,233.764505119454
1,223.525597269625
1,231.821917808219
1,219.430034129693
1,227.712328767123
1,228.986348122867
1,231.034129692833
1,212.643835616438
1,245.368600682594
1,241.273037542662
1,231.716723549488
1,241.955631399317
1,238.542662116041
1,235.129692832764
1,228.986348122867
1,241.273037542662
1,252.194539249147
1,241.955631399317
1,229.668941979522
1,220.795221843003
1,235.931506849315
1,228.986348122867
1,236.494880546075
1,219.430034129693
1,239.225255972696
1,231.821917808219
1,229.767123287671
1,228.303754266212
1,225.573378839591
1,231.034129692833
1,250.146757679181
1,216.807560137457
1,235.129692832764
1,229.668941979522
1,226.255972696246
1,240.590443686007
1,237.860068259386
1,211.921501706485
1,215.334470989761
1,229.668941979522
1,238.542662116041
1,233.764505119454
1,240.590443686007
1,241.273037542662
1,238.542662116041
1,249.464163822526
1,237.17747440273
1,235.81228668942
1,233.764505119454
1,219.430034129693
1,237.860068259386
