null_raster,SES_affluence_R
1,3.25255972696246
1,3.25255972696246
1,3.30034129692833
1,3.34129692832764
1,3.21160409556314
1,3.60068259385666
1,3.56655290102389
1,3.40273037542662
1,3.27986348122867
1,3.27986348122867
1,3.36860068259386
1,3.29351535836178
1,3.41638225255973
1,3.06143344709898
1,3.23890784982935
1,3.34246575342466
1,3.2320819112628
1,3.36177474402731
1,3.3481228668942
1,3.17064846416382
1,3.27303754266212
1,3.40955631399317
1,3.43003412969283
1,3.43003412969283
1,3.20477815699659
1,3.33561643835616
1,3.3481228668942
1,3.47098976109215
1,3.23890784982935
1,3.27303754266212
1,3.2457337883959
1,3.30716723549488
1,3.19795221843004
1,3.32081911262799
1,3.3481228668942
1,3.17747440273038
1,3.61433447098976
1,3.15017064846416
1,3.31399317406143
1,3.15017064846416
1,3.40955631399317
1,3.50684931506849
1,3.15699658703072
1,3.32081911262799
1,3.43835616438356
1,3.30034129692833
1,3.4778156996587
1,3.16494845360825
1,3.21160409556314
1,3.32764505119454
1,3.22525597269625
1,3.30821917808219
1,3.18430034129693
1,3.26712328767123
1,3.27986348122867
1,3.30034129692833
1,3.11643835616438
1,3.44368600682594
1,3.40273037542662
1,3.30716723549488
1,3.40955631399317
1,3.37542662116041
1,3.34129692832765
1,3.27986348122867
1,3.40273037542662
1,3.51194539249147
1,3.40955631399317
1,3.28668941979522
1,3.19795221843003
1,3.34931506849315
1,3.27986348122867
1,3.35494880546075
1,3.18430034129693
1,3.38225255972696
1,3.30821917808219
1,3.28767123287671
1,3.27303754266212
1,3.2457337883959
1,3.30034129692833
1,3.49146757679181
1,3.15807560137457
1,3.34129692832765
1,3.28668941979522
1,3.25255972696246
1,3.39590443686007
1,3.36860068259386
1,3.10921501706485
1,3.14334470989761
1,3.28668941979522
1,3.37542662116041
1,3.32764505119454
1,3.39590443686007
1,3.40273037542662
1,3.37542662116041
1,3.48464163822526
1,3.3617747440273
1,3.3481228668942
1,3.32764505119454
1,3.18430034129693
1,3.36860068259386
