LR1_coefficients_null_raster	LR1_coefficients_SES_affluence_R	LR1_R2_null_raster	LR1_R2_SES_affluence_R	LR1_Q_SES_affluence_R	LR2_coefficients_null_raster	LR2_coefficients_SES_affluence_R	LR2_R2_null_raster	LR2_R2_SES_affluence_R	LR2_Q_SES_affluence_R
0.00900567904249643	0.00729621985945476	0.0852539411500502	0.0825538174066133	-0.00270012374343698	0.000249312213201075	0.000179451532172484	0.0318336213661083	0.0364363668621619	0.00460274549605361
0.00709261107629482	0.00578462507561505	0.0449666710408697	0.0452325447567987	0.00026587371592901	0.000224017770843076	0.000141714348780689	0.0165605544880432	0.0169197543993097	0.000359199911266487
0.00769847013371499	0.00529237335773318	0.0335535666281145	0.0263274347721591	-0.00722613185595547	0.000196993991523941	0.000109261718345523	0.00738478822588077	0.00648350698513526	-0.000901281240745513
0.0079298758932325	0.00590405014503279	0.055084576564951	0.0465538214407548	-0.0085307551241962	0.000188869855617948	0.00011995329199378	0.012215939462694	0.0118893119963384	-0.000326627466355523
0.0101198371814072	0.00878778007481981	0.06595186519419	0.0755635968214248	0.00961173162723479	0.000253950686140568	0.000202164857216394	0.0153472086003539	0.0230243656499588	0.00767715704960497
0.0103815247285852	0.00820865702608629	0.102746853337434	0.0994055509771396	-0.00334130236029437	0.000359120810372496	0.000251406970322692	0.0473112432349294	0.0560880539499813	0.00877681071505186
0.00913742416651822	0.00620104949732538	0.0841101821855359	0.0632379920892756	-0.0208721900962603	0.000246866085276892	0.000125858499831745	0.0239262214007748	0.0171710798237291	-0.00675514157704573
0.00542119302342565	0.00438673786454164	0.0269398561823459	0.0277194505777957	0.000779594395449733	0.00017305460116603	0.000106127302691289	0.0112881689540197	0.011205738559848	-8.24303941716273e-05
0.01539722801696	0.011783303850559	0.165467990766538	0.14920547319809	-0.0162625175684486	0.000652824867390547	0.000445661633267436	0.0927988747130182	0.100510995595828	0.00771212088281004
0.010737504343198	0.00839693311829458	0.0585023553875123	0.0555561111468113	-0.00294624424070097	0.000323571059226193	0.00023133265469661	0.0190144301448975	0.0240847984581654	0.00507036831326786
0.00549878992216957	0.00430872935032658	0.0245849513592039	0.0225268834127965	-0.00205806794640741	9.87359729298432e-05	6.6572066215579e-05	0.00381890307275877	0.00409252707801822	0.000273624005259447
0.0115261337160456	0.00934711738883344	0.122926690580589	0.118430795055367	-0.00449589552522198	0.000367525632975245	0.000246623858236558	0.055723259915491	0.0584044333293492	0.00268117341385825
0.0127863386901262	0.00933961638848496	0.0995359562127789	0.0896954987639052	-0.0098404574488737	0.000457433698441386	0.000259495053201526	0.0457991643310933	0.0443979488558914	-0.00140121547520183
0.0100008336131982	0.0073452223438656	0.0844613490272275	0.0720555429892509	-0.0124058060379766	0.000288374849994646	0.000158701859410253	0.0317780312418189	0.0262673886593055	-0.00551064258251346
0.0111541222942896	0.00936270499804225	0.0743417296413102	0.0797952239389832	0.00545349429767301	0.000322477723366209	0.000218466289678264	0.0241370622302761	0.0283668647118739	0.00422980248159784
0.000783351558969244	0.000236786240731887	0.00116282351688106	0.000157124103624151	-0.00100569941325691	2.18234724131565e-05	-2.21658639787072e-06	0.000695173986111855	1.63919272245675e-05	-0.000678782058887287
0.00877267361114184	0.00706592666316745	0.0556724246546388	0.0559418785339048	0.000269453879265906	0.00025601475533184	0.000154708576343217	0.0159534394381643	0.0148285877644213	-0.001124851673743
0.0115574832127823	0.00905086420636857	0.0953785462426279	0.0891022323078231	-0.00627631393480485	0.00039216720633382	0.000251900820383608	0.0410470455932175	0.0400669450971915	-0.00098010049602603
0.00874457227931466	0.00667128784379679	0.0616370359087082	0.0532957712370172	-0.00834126467169101	0.000220282374965409	0.00013398519372449	0.0155137885765447	0.0142532086777619	-0.00126057989878276
0.0138010025868565	0.0108574108303522	0.120164968680673	0.113378976869103	-0.00678599181156934	0.000457240538488876	0.000312003183198578	0.04707667355608	0.0546860272987619	0.00760935374268187
0.00732603451696526	0.00581991157699151	0.0340578194716023	0.0319935949770257	-0.00206422449457661	0.000175454073976617	0.00011368706787103	0.00651692443953273	0.00628719676996511	-0.000229727669567617
0.00923983757470773	0.00739247222461666	0.0731552822760087	0.0749708307789997	0.00181554850299097	0.000233236234231444	0.00017680530881345	0.019593422121112	0.0289167670103928	0.00932334488928075
0.0115298829587093	0.0086797671126495	0.0967952936282223	0.0865336669584284	-0.010261626669794	0.000384205908874961	0.000251758910325741	0.0463471263200099	0.0486269061794703	0.00227977985946044
0.00950378985738997	0.00706374946878402	0.0647233213387936	0.0568527749989395	-0.00787054633985411	0.000274852080694606	0.000153290696054621	0.0200303267275124	0.0180634642673426	-0.00196686246016975
0.00808775639550999	0.00623775141610339	0.0471747793510105	0.0432537713978304	-0.00392100795318012	0.000191334587806279	0.000113462308119699	0.0106573660685388	0.0094871044959842	-0.00117026157255465
0.000172055566317573	0.000611172089005637	6.44512320803755e-05	0.00117665548091453	0.00111220424883416	1.4544014468291e-05	2.0472201936155e-05	0.000322030739924693	0.00143732007106452	0.00111528933113983
0.0122532806180355	0.00934638883748358	0.0869044944489116	0.0790286163902834	-0.0078758780586282	0.000435726434191198	0.000287004850327126	0.0347461497206748	0.0399722968448334	0.00522614712415858
0.00781442047339453	0.00584520440316195	0.053647509824598	0.0473279778601839	-0.00631953196441416	0.00025341847669129	0.000140993120456657	0.0177349223897723	0.01496248724675	-0.00277243514302228
0.0111382179985864	0.00788451494750204	0.0855927492099293	0.0677698732073482	-0.0178228760025811	0.000398066197785136	0.000241757019563883	0.0389847628601244	0.0353426305546947	-0.00364213230542972
0.0096871422586595	0.00764701452765717	0.0769642420850322	0.0749661148077941	-0.0019981272772381	0.000292557275413538	0.000190862016251297	0.0298198109218206	0.0330265048355929	0.00320669391377232
0.00967355187011707	0.00655025853198649	0.0628763232484028	0.0463716402286962	-0.0165046830197067	0.000310857428258632	0.00016285006579989	0.0232677252495418	0.018169769232316	-0.00509795601722586
0.00907980251524384	0.00609027673687444	0.0517536296777454	0.0374899660441512	-0.0142636636335942	0.000214756229448185	0.000113180045160062	0.0113994995185511	0.00875846393448621	-0.00264103558406485
0.0113843060549225	0.0083757235522382	0.0933118304352608	0.0787871207479393	-0.0145247096873215	0.000424943661941255	0.000250552044596486	0.0477283033619184	0.0421734070477098	-0.00555489631420858
0.00978050094496967	0.00668548802850071	0.0695302223449934	0.0517385867232111	-0.0177916356217823	0.000239373227480533	0.00013898795527914	0.017515453111449	0.0146489037867654	-0.00286654932468355
0.00678519885948498	0.0055170416189078	0.0372620822555771	0.0369854848635539	-0.000276597392023188	0.000152564892776077	8.62489535272189e-05	0.00795040119972657	0.00639464601144064	-0.00155575518828594
0.0127286359851017	0.0104307369920845	0.133783123697302	0.134779320077022	0.000996196379720038	0.000502926505743407	0.000333404268442263	0.0697977744779401	0.0759939465890354	0.00619617211109529
0.0112602270594974	0.00866804989340945	0.086547636544227	0.0856837062162965	-0.000863930327930501	0.00037216666430003	0.000237134146714411	0.0333561130844231	0.0385695047054066	0.00521339162098353
0.00856683643327433	0.00734111649915989	0.0538787002476506	0.0617502842480886	0.00787158400043798	0.000245326010949206	0.00019041275655371	0.0189437792232228	0.0267674139209281	0.00782363469770529
0.0136006381239392	0.00961470815984348	0.10018124424252	0.0796403597734179	-0.0205408844691016	0.00042308037735539	0.000238552001202598	0.0369190169278085	0.031951441938658	-0.00496757498915044
0.0122864417672659	0.00913077850055829	0.094712685802353	0.0818403865327894	-0.0128722992695636	0.000500757267812108	0.000284810709915036	0.0506886843828041	0.0440446275005768	-0.00664405688222735
0.010898687134436	0.00906746990146697	0.0995825312907245	0.103581593770551	0.00399906247982615	0.000348666586329737	0.000256964962387469	0.0463574759402492	0.0567709472374421	0.010413471297193
-0.000533065071626186	-0.00098190951198474	0.000477026870193344	0.00235348326094433	0.00187645639075098	-3.15358285608135e-05	-3.22879122869968e-05	0.00119088848766585	0.00290338341058624	0.00171249492292039
0.00946293148923709	0.00771447183436487	0.0633454303610236	0.0654829762477739	0.0021375458867503	0.000340765876440199	0.0002111579145049	0.0295064694750335	0.030644650349607	0.00113818087457349
0.0100492005824731	0.00741407011913545	0.0681280239122392	0.0563494746100118	-0.0117785493022274	0.000386023889704748	0.000202695434536618	0.0339833893386279	0.0248105901254698	-0.00917279921315809
