null_raster,SES_class_R
1,869.098159509202
1,863.80487804878
1,855.938271604938
1,870.318181818182
1,867.666666666667
1,836.260115606936
1,834.333333333333
1,857.32183908046
1,865.779874213836
1,865.457831325301
1,861.119047619047
1,854.658536585366
1,825.84076433121
1,862.486486486486
1,849.101265822785
1,864.372093023256
1,862.963190184049
1,858.575757575758
1,853.409638554217
1,847.40522875817
1,869.263473053892
1,846.029239766082
1,858.558139534884
1,850.397590361446
1,865.197530864197
1,871.588235294118
1,829.125
1,846.93023255814
1,847.153846153846
1,855.430379746835
1,853.760736196319
1,853.760736196319
1,879.980891719745
1,862.44578313253
1,849.484848484849
1,865.779874213836
1,830.479768786127
1,840.869281045752
1,871.588235294118
1,858.615894039735
1,847.385542168675
1,823.981366459627
1,881.368098159509
1,878.142857142857
1,864.636363636364
1,837.538461538462
1,858.142857142857
1,872.71052631579
1,868.283950617284
1,853.760736196319
1,872.165644171779
1,864.636363636364
1,853.941176470588
1,842.614906832298
1,863.275449101796
1,871.588235294118
1,871.967741935484
1,854.801169590643
1,850.397590361446
1,849.765432098765
1,853.409638554217
1,847.385542168675
1,867.863905325444
1,854.658536585366
1,845.311377245509
1,851.574712643678
1,833.317073170732
1,859.895705521472
1,865.779874213836
1,855.545454545455
1,847.875
1,870.8224852071
1,865.779874213836
1,830.113924050633
1,868.469879518072
1,847.875
1,845.936708860759
1,856.345911949685
1,870.565217391304
1,831.357142857143
1,868.088607594937
1,853.409638554217
1,870.69696969697
1,868.469879518072
1,846.238095238095
1,855.166666666667
1,853.941176470588
1,861.759493670886
1,859.024691358025
1,854.658536585366
1,862.963190184049
1,852.515151515151
1,856.491329479769
1,833.298136645963
1,834.333333333333
1,842.614906832298
1,855.938271604938
1,854.658536585366
1,861.759493670886
1,865.705882352941
