LR1_coefficients_null_raster	LR1_coefficients_SES_class_C	LR1_R2_null_raster	LR1_R2_SES_class_C	LR1_Q_SES_class_C	LR2_coefficients_null_raster	LR2_coefficients_SES_class_C	LR2_R2_null_raster	LR2_R2_SES_class_C	LR2_Q_SES_class_C
0.0051558864384021	0.0378340039777879	0.04849073608163	0.0464324792216705	-0.00205825685995951	0.000169700186984084	0.010453708589932	0.0322709126953177	0.0364413038912085	0.00417039119589088
0.00413505003969747	0.028921770865455	0.0358432668669227	0.0305431197481828	-0.0053001471187399	0.00014553960025195	0.00738016027348843	0.0201623103622211	0.0162886666619937	-0.00387364370022737
0.00458595065211012	0.0298214025515155	0.0319195396424104	0.0263419788235996	-0.00557756081881076	0.0001086198540589	0.00365753677717289	0.00830693781726387	0.00372677872575733	-0.00458015909150654
0.0154680570404742	0.0857616012196847	0.13565921441336	0.0803833432921366	-0.0552758711212232	0.000733814924840671	0.0246573759041191	0.0584117744420475	0.0269778091911785	-0.031433965250869
0.0113555668013313	0.0790502508958612	0.0844124305056045	0.0667620532365319	-0.0176503772690726	0.000177349161578829	0.0093252646251365	0.00931996494188284	0.00658891682256087	-0.00273104811932197
0.0076487552557048	0.0511771987234984	0.120360722487833	0.105756387700897	-0.0146043347869362	0.000198255899740517	0.00980771527827162	0.0360548191157569	0.0329100258401945	-0.00314479327556238
0.00382896958392575	0.0263621174680595	0.0477366784295935	0.0415313168347994	-0.00620536159479416	6.65956151782154e-05	0.00400900133816603	0.00798961752856393	0.0090405650287003	0.00105094750013637
0.00288183107499193	0.0179318938934495	0.00916089311653867	0.00587484825909785	-0.00328604485744082	9.36918997048084e-05	0.00480642839063309	0.00403202813594716	0.00329461141049408	-0.000737416725453079
0.00853588527459424	0.0618729105099761	0.119245291886279	0.106944744088018	-0.0123005477982611	0.000369507292701265	0.0157759001038398	0.0795923102168081	0.0556709731820901	-0.023921337034718
0.00287870581709669	0.0162151414926666	0.00508689017407037	0.00305982745049354	-0.00202706272357683	6.5200352555519e-05	0.00329339708698291	0.000779003072207199	0.000713338808082393	-6.56642641248068e-05
0.00549769314583212	0.0241779175595293	0.0140121552218264	0.00525187009983318	-0.00876028512199323	6.99647457647007e-05	0.00223006875079031	0.0011989701056691	0.000411179895284201	-0.000787790210384903
0.00471930663429093	0.0289111083750642	0.0286166917016912	0.0202177580182853	-0.00839893368340587	4.21768506557291e-05	0.00136008461076493	0.000934225944702255	0.000364402881406871	-0.000569823063295384
0.0170866088233274	0.105444744202124	0.136109947643521	0.0762707959516617	-0.059839151691859	0.00102470045022148	0.0425683617821579	0.0751991666425676	0.0269598652404937	-0.0482393014020738
0.0117537704043814	0.0771096848728835	0.146909441226174	0.110078451675763	-0.0368309895504116	0.000383298356036875	0.0188932264045043	0.0645047012872479	0.0475577075990022	-0.0169469936882456
0.0109721888216614	0.0713483730559679	0.0915570662360138	0.0690203888385445	-0.0225366773974694	0.000294705608379982	0.0151654042289133	0.0416755366530223	0.0344826313670129	-0.00719290528600938
-0.00215353078275995	-0.016394245739661	0.00897924199481146	0.0107576553790058	0.00177841338419436	-0.000104528065904928	-0.00557761613694586	0.014429446053707	0.0158852586535597	0.00145581259985267
0.00326397480946805	0.0248018411906787	0.0153142690525169	0.0158695048885198	0.000555235836002923	1.76808229770002e-05	0.000910892798509411	0.000238438814778676	0.000205152997588692	-3.32858171899837e-05
0.00797009673121525	0.0544734760379933	0.107707909940843	0.0952582934211224	-0.0124496165197206	0.000245091863235513	0.0123435745512119	0.0416400326710776	0.0369008658458513	-0.00473916682522633
0.0046739075714382	0.0281030950874121	0.0294098929755889	0.0211968088855045	-0.00821308409008448	5.9305462468174e-05	0.00169852407704422	0.0016619953927578	0.000538035101634636	-0.00112396029112317
0.0106230133218402	0.0765696723386355	0.0671533338645169	0.0555051338437031	-0.0116482000208138	0.000391280866981243	0.0250097481199662	0.0255795240232217	0.0242487244201449	-0.00133079960307681
0.00388689459422557	0.0134824937474633	0.0118593146108175	0.00285460510029124	-0.00900470951052625	1.62145605526373e-06	-0.00307700084323493	7.50771867084878e-07	0.00104875599915324	0.00104800522728616
0.0109263980795533	0.0776810952406617	0.11478219267572	0.11180630258667	-0.00297589008905069	0.000450619733616713	0.023242173064864	0.0652376152051968	0.0644842912686564	-0.000753323936540443
0.0210717901205201	0.146859675234151	0.234140917304648	0.221807398710377	-0.0123335185942703	0.00134219363116336	0.0689210432344673	0.219805025055193	0.21492443521837	-0.00488058983682385
0.0174028401373578	0.113121920617963	0.14314917939943	0.12158383547733	-0.0215653439221001	0.000913658392658771	0.0440432538371201	0.111838391043642	0.105966727334869	-0.00587166370877328
0.00549342835603307	0.0364590443379373	0.0394412867968571	0.0315923621823339	-0.00784892461452315	0.000126521672749895	0.00652804525435862	0.00964513825361659	0.00814663544006023	-0.00149850281355636
0.00159301270371479	0.0100362885181834	0.0046785173781627	0.00416730858093247	-0.000511208797230223	0.000124129983621256	0.00550877702149933	0.0133546562895282	0.0108899005683523	-0.00246475572117587
0.00998535163003447	0.0742252504193624	0.103180289308427	0.102449195114661	-0.000731094193765242	0.000376914936122533	0.0213218936728176	0.0406858433499155	0.0410445163354579	0.000358672985542333
0.00571325681624664	0.0317257535650315	0.0403354979713395	0.024082438247899	-0.0162530597234405	0.000203548625392628	0.00606296440105827	0.0160289015113375	0.00542244953933068	-0.0106064519720069
0.0103901126691383	0.0670308458105032	0.125042195841609	0.115438656505248	-0.00960353933636096	0.000609660609786548	0.0289001747950224	0.0668926324697673	0.0628853680012045	-0.00400726446856282
0.0145159984359194	0.0805821449050672	0.15935930162544	0.0873369888046275	-0.0720223128208124	0.000351330113404573	0.00671362328216417	0.0272354426908297	0.00397851513986744	-0.0232569275509623
0.0176679286216255	0.12679417343264	0.099852417037274	0.0875584836890519	-0.0122939333482221	0.00218691535500648	0.110068111089587	0.0809889387181993	0.0659303798850805	-0.0150585588331188
0.00287253132552856	0.0179103752090108	0.0160381612314213	0.0112676049884507	-0.00477055624297066	9.61436976122705e-05	0.0044698355296184	0.00876926352813743	0.00616031885231487	-0.00260894467582256
0.00392361464158106	0.02450969478789	0.0222307628695972	0.0153564613311947	-0.00687430153840242	0.00012734460868795	0.00644343516907222	0.015254496301015	0.0126757956850995	-0.00257870061591547
0.0134211479396794	0.0817534118722119	0.1207549263944	0.0827079802200321	-0.0380469461743677	0.000454685312681681	0.0203787030965521	0.0610964154818566	0.0430604401370536	-0.018035975344803
0.0144019952786538	0.0799070930655522	0.0811044457869707	0.044680735333029	-0.0364237104539417	0.000305774498326309	0.00722843147760528	0.0119163232277667	0.00251298740618327	-0.00940333582158343
0.00800137197741126	0.0488333664076816	0.0910687416180943	0.0703264295739022	-0.0207423120441921	0.00027268917370026	0.0117714554570719	0.0498629900273454	0.0384328627618467	-0.0114301272654988
0.00938218602977928	0.0632144392246867	0.10676090480526	0.096048255268453	-0.010712649536807	0.00039685662446614	0.0206393010493244	0.0914462329857083	0.0878785070009961	-0.00356772598471218
0.00341777219713435	0.0228523788671614	0.0390021110170906	0.0353948879473159	-0.00360722306977472	2.97565167867292e-05	0.00152234004863934	0.00142262304345827	0.0015565714280191	0.00013394838456083
0.00733310685956161	0.0305527046002685	0.0273926150472636	0.00930651322292864	-0.0180861018243349	0.000186493619025557	0.00131839481752935	0.00328562748764304	6.59451039950863e-05	-0.00321968238364795
0.00966427814904749	0.0624932254730964	0.198860845494784	0.160411619406807	-0.0384492260879773	0.000407384363798436	0.0195929509519579	0.155081246289432	0.142154614785609	-0.0129266315038235
0.0107761311670258	0.069225583794555	0.0537786151135852	0.0423164850832287	-0.0114621300303565	0.000344820317204087	0.0157414231948603	0.0163342619141792	0.0118491872199473	-0.00448507469423188
-0.000158922769380857	-0.00134591046883533	0.000106951358049207	0.000141439172366466	3.44878143172595e-05	3.02293613269832e-05	0.00145754024703692	0.002875166588426	0.00210358624632164	-0.000771580342104362
0.00663073637595228	0.036779021815126	0.0238514915213234	0.0143712636096303	-0.00948022791169306	0.000216400985445001	0.00995809666267573	0.0134087095085047	0.0109415599415505	-0.00246714956695411
0.0100994466383583	0.066340958774854	0.0561967242102527	0.0428460554426351	-0.0133506687676176	0.000191581552376804	0.00777777709240552	0.00669593895932965	0.00378788881985945	-0.0029080501394702
-0.000772085964123996	-0.0046204353783368	0.00317794478235108	0.00223807346509231	-0.000939871317258765	-4.90259935867915e-05	-0.00215738788357677	0.0101053780080106	0.00650457781570409	-0.00360080019230652
0.0144971781257602	0.0924631158599754	0.255985423436336	0.210131120155576	-0.0458543032807605	0.00069041726669692	0.0310518838553591	0.188797329938242	0.155439732265724	-0.0333575976725182
0.0123268770698346	0.085612476582436	0.0788299778984355	0.0764443902629315	-0.00238558763550402	0.00021581906241389	0.0111569709741141	0.00845488821043189	0.00871211656262644	0.000257228352194551
-0.000865857122069752	-0.00612795839078311	0.00574866481494992	0.006011044341201	0.000262379526251081	-5.56668795327862e-05	-0.00296901832900184	0.0145457202259838	0.0145600541966907	1.43339707069819e-05
0.00307627850657899	0.0206784933031355	0.0139020253885226	0.0121648277134939	-0.00173719767502869	6.57526924825383e-05	0.00294216274150786	0.00191556483444011	0.00141508381916721	-0.000500481015272899
0.00736079812290837	0.0367903051831362	0.0563278616028515	0.0277595672927102	-0.0285682943101413	0.000139067789101877	0.0036604515676439	0.00695342851718382	0.00202757087659256	-0.00492585764059126
0.0123447890057339	0.0739177111251087	0.0830464961799344	0.0567305416322703	-0.0263159545476641	0.000386920552320318	0.0137376364590782	0.0226641252975035	0.0120970737088783	-0.0105670515886252
0.00164473002755727	0.00858471136054331	0.00928340086756818	0.00503391904680215	-0.00424948182076603	8.13624783070902e-05	0.00282009800363607	0.0151667403593754	0.00653024888918431	-0.00863649147019111
0.00735587990914544	0.0368720381505877	0.058916673236518	0.0295555087256173	-0.0293611645109007	0.000146444425940073	0.00349288902733037	0.00453882936408895	0.00098931552108273	-0.00354951384300622
0.000384905333094285	-0.00703132991689902	0.000272431556077113	0.00171131552910258	0.00143888397302547	-8.99269894219305e-07	-0.0023647317027696	1.07434036580592e-06	0.00240465595539838	0.00240358161503258
0.0167365231931431	0.114103758538409	0.132668804936689	0.111738255307049	-0.0209305496296403	0.000723390388966401	0.0307755825087998	0.0871987636436138	0.0613235492911815	-0.0258752143524323
0.00577472508259989	0.0333601240653838	0.0554745582812586	0.0324669195764355	-0.0230076387048231	0.000112081190535608	0.00381818401609224	0.00756118361618441	0.00280379718814962	-0.00475738642803479
-0.00556157750309707	-0.0444206715732659	0.0444584013649618	0.0619002920753819	0.01744189071042	-0.000150433414637383	-0.0106568588495003	0.0211634985373243	0.0399747065540676	0.0188112080167433
0.0043894976091537	0.0249943581998525	0.0449142907373485	0.0269216947804243	-0.0179925959569242	0.000124831987130865	0.00557676039816728	0.0198507779684084	0.0132557156722367	-0.00659506229617168
0.00763104779688144	0.0528676892737682	0.070278023723816	0.060965075407888	-0.00931294831592793	0.000229787413223559	0.0117950589015424	0.024680207235491	0.0210327939376413	-0.00364741329784973
0.010181870641866	0.0563693654346417	0.045977355730307	0.0300420812052715	-0.0159352745250355	0.000140656398045782	0.00519718500273332	0.00293421339671743	0.00162031138101838	-0.00131390201569904
