null_raster,SES_class_C
1,87.8098159509203
1,87.2804878048781
1,86.4938271604938
1,87.9318181818182
1,87.6666666666667
1,84.5260115606936
1,84.3333333333333
1,86.632183908046
1,87.4779874213836
1,87.4457831325301
1,87.0119047619048
1,86.3658536585366
1,83.484076433121
1,87.1486486486486
1,85.8101265822785
1,87.3372093023256
1,87.1963190184049
1,86.7575757575758
1,86.2409638554217
1,85.640522875817
1,87.8263473053892
1,85.5029239766082
1,86.7558139534884
1,85.9397590361446
1,87.4197530864197
1,88.0588235294118
1,83.8125
1,85.593023255814
1,85.6153846153846
1,86.4430379746835
1,86.2760736196319
1,86.2760736196319
1,88.8980891719745
1,87.144578313253
1,85.8484848484848
1,87.4779874213836
1,83.9479768786127
1,84.9869281045752
1,88.0588235294118
1,86.7615894039735
1,85.6385542168675
1,83.2981366459627
1,89.0368098159509
1,88.7142857142857
1,87.3636363636364
1,84.6538461538461
1,86.7142857142857
1,88.171052631579
1,87.7283950617284
1,86.2760736196319
1,88.1165644171779
1,87.3636363636364
1,86.2941176470588
1,85.1614906832298
1,87.2275449101796
1,88.0588235294118
1,88.0967741935484
1,86.3801169590643
1,85.9397590361446
1,85.8765432098765
1,86.2409638554217
1,85.6385542168675
1,87.6863905325444
1,86.3658536585366
1,85.4311377245509
1,86.0574712643678
1,84.2317073170732
1,86.8895705521472
1,87.4779874213836
1,86.4545454545454
1,85.6875
1,87.98224852071
1,87.4779874213836
1,83.9113924050633
1,87.7469879518072
1,85.6875
1,85.4936708860759
1,86.5345911949685
1,87.9565217391304
1,84.0357142857143
1,87.7088607594937
1,86.2409638554217
1,87.969696969697
1,87.7469879518072
1,85.5238095238095
1,86.4166666666667
1,86.2941176470588
1,87.0759493670886
1,86.8024691358025
1,86.3658536585366
1,87.1963190184049
1,86.1515151515152
1,86.5491329479769
1,84.2298136645963
1,84.3333333333333
1,85.1614906832298
1,86.4938271604938
1,86.3658536585366
1,87.0759493670886
1,87.4705882352941
