LR1_coefficients_null_raster	LR1_coefficients_SES_class_R	LR1_R2_null_raster	LR1_R2_SES_class_R	LR1_Q_SES_class_R	LR2_coefficients_null_raster	LR2_coefficients_SES_class_R	LR2_R2_null_raster	LR2_R2_SES_class_R	LR2_Q_SES_class_R
0.0051558864384021	6.96515474373309e-05	0.04849073608163	0.0457729538010232	-0.00271778228060682	0.000169700186984084	2.88911069411296e-08	0.0322709126953177	0.0257471526310208	-0.00652376006429687
0.00413505003969747	5.82928894147445e-05	0.0358432668669227	0.038059211118978	0.00221594425205528	0.00014553960025195	3.30588339493324e-08	0.0201623103622211	0.0256142607764553	0.00545195041423421
0.00458595065211012	7.54280174902204e-05	0.0319195396424104	0.0399099307457556	0.00799039110334528	0.0001086198540589	3.68680901009535e-08	0.00830693781726387	0.0189541286433847	0.0106471908261208
0.0154680570404742	0.000259665241285635	0.13565921441336	0.203801070182526	0.0681418557691659	0.000733814924840671	2.45876174983815e-07	0.0584117744420475	0.145143081209382	0.0867313067673348
0.0113555668013313	0.000156531621699155	0.0844124305056045	0.0958630166275424	0.0114505861219378	0.000177349161578829	3.88643361091384e-08	0.00931996494188284	0.0144546133021855	0.00513464836030271
0.0076487552557048	0.000122366209582802	0.120360722487833	0.134860804705066	0.014500082217233	0.000198255899740517	5.46671436305907e-08	0.0360548191157569	0.0480683063615152	0.0120134872457583
0.00382896958392575	5.52692709796524e-05	0.0477366784295935	0.051470656261637	0.00373397783204346	6.65956151782154e-05	1.34326674464549e-08	0.00798961752856393	0.00831027365281413	0.000320656124250201
0.00288183107499193	4.25681253561719e-05	0.00916089311653867	0.0121606328791846	0.00299973976264589	9.36918997048084e-05	1.39117518243323e-08	0.00403202813594716	0.00307155165676383	-0.000960476479183329
0.00853588527459424	0.000108058548404239	0.119245291886279	0.116593580617341	-0.00265171126893798	0.000369507292701265	8.82084213317095e-08	0.0795923102168081	0.112857999638853	0.0332656894220451
0.00287870581709669	5.00836202171965e-05	0.00508689017407037	0.00789238510907521	0.00280549493500484	6.5200352555519e-05	2.31380257238511e-08	0.000779003072207199	0.00209162779107865	0.00131262471887145
0.00549769314583212	0.000114600433736029	0.0140121552218264	0.0304536270780354	0.016441471856209	6.99647457647007e-05	2.6580107119433e-08	0.0011989701056691	0.00401219002428622	0.00281321991861712
0.00471930663429093	7.38552746431325e-05	0.0286166917016912	0.0368965832327289	0.00827989153103773	4.21768506557291e-05	1.99137740136664e-08	0.000934225944702255	0.00397319733973544	0.00303897139503318
0.0170866088233274	0.000229626386734432	0.136109947643521	0.181100109392787	0.0449901617492666	0.00102470045022148	1.66321472492379e-07	0.0751991666425676	0.119268373127283	0.0440692064847157
0.0117537704043814	0.000166723646348721	0.146909441226174	0.173563117826175	0.0266536766000008	0.000383298356036875	8.4678607241183e-08	0.0645047012872479	0.0964722902216728	0.0319675889344249
0.0109721888216614	0.000171970809836619	0.0915570662360138	0.117357419012402	0.0258003527763882	0.000294705608379982	6.93574484446088e-08	0.0416755366530223	0.0561347551621126	0.0144592185090903
-0.00215353078275995	-2.46075413512347e-05	0.00897924199481146	0.00489902076010421	-0.00408022123470725	-0.000104528065904928	-2.1050241961062e-08	0.014429446053707	0.0104520238859932	-0.00397742216771387
0.00326397480946805	4.34344516821969e-05	0.0153142690525169	0.0139879244055866	-0.00132634464693027	1.76808229770002e-05	4.83419959125672e-09	0.000238438814778676	0.000432927941196829	0.000194489126418153
0.00797009673121525	0.000112563227460497	0.107707909940843	0.109777652437001	0.00206974249615835	0.000245091863235513	4.83997097294039e-08	0.0416400326710776	0.0412141622062562	-0.000425870464821392
0.0046739075714382	7.62573516350475e-05	0.0294098929755889	0.03734069425214	0.00793080127655111	5.9305462468174e-05	2.32923126643024e-08	0.0016619953927578	0.00529955228459372	0.00363755689183591
0.0106230133218402	0.000136679115220572	0.0671533338645169	0.0740343248177602	0.00688099095324333	0.000391280866981243	6.04939323492511e-08	0.0255795240232217	0.0269190589474856	0.00133953492426392
0.00388689459422557	9.45627580025145e-05	0.0118593146108175	0.0340585271179275	0.02219921250711	1.62145605526373e-06	3.30004478460378e-08	7.50771867084878e-07	0.0060603438111714	0.00605959303930432
0.0109263980795533	0.000149759754487198	0.11478219267572	0.103205033504154	-0.0115771591715665	0.000450619733616713	8.92808903925888e-08	0.0652376152051968	0.0542798893293188	-0.0109577258758781
0.0210717901205201	0.000276247646080756	0.234140917304648	0.209724528055955	-0.0244163892486929	0.00134219363116336	2.52754318296103e-07	0.219805025055193	0.189995134277786	-0.0298098907774071
0.0174028401373578	0.000276597740279863	0.14314917939943	0.161020944956684	0.0178717655572539	0.000913658392658771	2.26262309656393e-07	0.111838391043642	0.119014552009211	0.00717616096556871
0.00549342835603307	8.45786922632363e-05	0.0394412867968571	0.0475373041732357	0.0080960173763786	0.000126521672749895	3.07876923788721e-08	0.00964513825361659	0.0132819811886437	0.00363684293502711
0.00159301270371479	2.74150220350413e-05	0.0046785173781627	0.00539089356047512	0.000712376182312425	0.000124129983621256	2.91528449216317e-08	0.0133546562895282	0.0135312981486062	0.000176641859077981
0.00998535163003447	0.000124711186994043	0.103180289308427	0.0910828174392552	-0.0120974718691714	0.000376914936122533	7.1227697367714e-08	0.0406858433499155	0.0430588894270719	0.00237304607715638
0.00571325681624664	0.000103888498316262	0.0403354979713395	0.064802467833304	0.0244669698619646	0.000203548625392628	7.73047759925014e-08	0.0160289015113375	0.0478774985296961	0.0318485970183586
0.0103901126691383	0.000156489614238683	0.125042195841609	0.112394763822455	-0.0126474320191536	0.000609660609786548	1.37586141420683e-07	0.0668926324697673	0.0614128095750117	-0.00547982289475564
0.0145159984359194	0.00023255081207111	0.15935930162544	0.242609528125722	0.0832502265002822	0.000351330113404573	1.74675424731345e-07	0.0272354426908297	0.140880343078387	0.113644900387557
0.0176679286216255	0.000199434247830112	0.099852417037274	0.0838748372791183	-0.0159775797581557	0.00218691535500648	2.35882473173223e-07	0.0809889387181993	0.0491770708383491	-0.0318118678798503
0.00287253132552856	4.73808758165669e-05	0.0160381612314213	0.0215950736890431	0.00555691245762179	9.61436976122705e-05	2.30246038729925e-08	0.00876926352813743	0.0119312907362613	0.00316202720812383
0.00392361464158106	6.5418515144776e-05	0.0222307628695972	0.0315172758184675	0.00928651294887037	0.00012734460868795	2.82134645363873e-08	0.015254496301015	0.0181985745326599	0.0029440782316449
0.0134211479396794	0.00022645089290001	0.1207549263944	0.174999606187817	0.0542446797934168	0.000454685312681681	1.2573451762051e-07	0.0610964154818566	0.105882430696009	0.0447860152141528
