null_raster,SES_class_R
1,9.68098159509203
1,9.62804878048781
1,9.54938271604938
1,9.69318181818182
1,9.66666666666667
1,9.35260115606937
1,9.33333333333333
1,9.5632183908046
1,9.64779874213837
1,9.64457831325301
1,9.60119047619048
1,9.53658536585366
1,9.2484076433121
1,9.61486486486486
1,9.48101265822785
1,9.63372093023256
1,9.61963190184049
1,9.57575757575757
1,9.52409638554217
1,9.4640522875817
1,9.68263473053892
1,9.45029239766082
1,9.57558139534884
1,9.49397590361446
1,9.64197530864197
1,9.70588235294118
1,9.28125
1,9.45930232558139
1,9.46153846153846
1,9.54430379746836
1,9.52760736196319
1,9.52760736196319
1,9.78980891719745
1,9.6144578313253
1,9.48484848484848
1,9.64779874213836
1,9.29479768786127
1,9.39869281045751
1,9.70588235294118
1,9.57615894039735
1,9.46385542168675
1,9.22981366459627
1,9.80368098159509
1,9.77142857142857
1,9.63636363636363
1,9.36538461538462
1,9.57142857142857
1,9.71710526315789
1,9.67283950617284
1,9.52760736196319
1,9.71165644171779
1,9.63636363636363
1,9.52941176470588
1,9.41614906832298
1,9.62275449101796
1,9.70588235294118
1,9.70967741935484
1,9.53801169590643
1,9.49397590361446
1,9.48765432098765
1,9.52409638554217
1,9.46385542168675
1,9.66863905325444
1,9.53658536585366
1,9.44311377245509
1,9.50574712643678
1,9.32317073170732
1,9.58895705521472
1,9.64779874213836
1,9.54545454545454
1,9.46875
1,9.698224852071
1,9.64779874213836
1,9.29113924050633
1,9.67469879518072
1,9.46875
1,9.44936708860759
1,9.55345911949686
1,9.69565217391304
1,9.30357142857143
1,9.67088607594937
1,9.52409638554217
1,9.6969696969697
1,9.67469879518072
1,9.45238095238095
1,9.54166666666667
1,9.52941176470588
1,9.60759493670886
1,9.58024691358025
1,9.53658536585366
1,9.61963190184049
1,9.51515151515152
1,9.55491329479769
1,9.32298136645963
1,9.33333333333333
1,9.41614906832298
1,9.54938271604938
1,9.53658536585366
1,9.60759493670886
1,9.64705882352941
