node1,node2,length,startLon,startLat,endLon,endLat,endNodeL,startNodeL,startYear,endYear,tipLabel
149,150,0.978432398673046,-71.5470891440467,-16.3542184197209,-71.5107887284485,-16.3916466861036,0.978432398673046,0,2013.1542620019,2014.13269440058,NA
149,177,0.708831474323983,-71.5470891440467,-16.3542184197209,-71.5662051302304,-16.3373210924147,0.708831474323983,0,2013.1542620019,2013.86309347623,NA
177,179,0.272951921605303,-71.5662051302304,-16.3373210924147,-71.5690282099447,-16.3336856598451,0.981783395929286,0.708831474323983,2013.86309347623,2014.13604539783,NA
179,180,0.19869820331034,-71.5690282099447,-16.3336856598451,-71.5689916288135,-16.3316989046986,1.18048159923963,0.981783395929286,2014.13604539783,2014.33474360114,NA
150,151,0.255662503732527,-71.5107887284485,-16.3916466861036,-71.5061127939183,-16.3914350436621,1.23409490240557,0.978432398673046,2014.13269440058,2014.38835690431,NA
177,178,0.655667983407989,-71.5662051302304,-16.3373210924147,-71.5704717985397,-16.3339594583896,1.36449945773197,0.708831474323983,2013.86309347623,2014.51876145963,NA
180,184,0.309193591410459,-71.5689916288135,-16.3316989046986,-71.5530606970797,-16.3369864335765,1.48967519065008,1.18048159923963,2014.33474360114,2014.64393719255,NA
179,217,0.594534046426579,-71.5690282099447,-16.3336856598451,-71.574296222329,-16.3327574457836,1.57631744235587,0.981783395929286,2014.13604539783,2014.73057944426,NA
184,185,0.173629542400951,-71.5530606970797,-16.3369864335765,-71.5490660654477,-16.3414583134098,1.66330473305104,1.48967519065008,2014.64393719255,2014.81756673495,NA
151,157,0.466633249690545,-71.5061127939183,-16.3914350436621,-71.499855702813,-16.3884610740203,1.70072815209612,1.23409490240557,2014.38835690431,2014.854990154,NA
185,192,0.248012305374283,-71.5490660654477,-16.3414583134098,-71.535897999856,-16.3541919971623,1.91131703842532,1.66330473305104,2014.81756673495,2015.06557904033,NA
157,158,0.226476008395418,-71.499855702813,-16.3884610740203,-71.497178639646,-16.3896238348802,1.92720416049154,1.70072815209612,2014.854990154,2015.08146616239,NA
158,161,0.114366256529747,-71.497178639646,-16.3896238348802,-71.4953221675676,-16.3896841800075,2.04157041702128,1.92720416049154,2015.08146616239,2015.19583241892,NA
217,249,0.4874521297524,-71.574296222329,-16.3327574457836,-71.5729609586729,-16.3312543814414,2.06376957210827,1.57631744235587,2014.73057944426,2015.21803157401,NA
157,8,0.363366010384883,-71.499855702813,-16.3884610740203,-71.5015090400092,-16.3756562699984,2.064094162481,1.70072815209612,2014.854990154,2015.21835616438,73_2015_2015-03-22
217,218,0.495917809603192,-71.574296222329,-16.3327574457836,-71.582384351995,-16.3348425741033,2.07223525195906,1.57631744235587,2014.73057944426,2015.22649725386,NA
192,43,0.185653836384086,-71.535897999856,-16.3541919971623,-71.5209474100149,-16.3685611399997,2.0969708748094,1.91131703842532,2015.06557904033,2015.25123287671,114_2015_2015-04-03
151,152,0.877362353643976,-71.5061127939183,-16.3914350436621,-71.5069798961899,-16.3943392440627,2.11145725604955,1.23409490240557,2014.38835690431,2015.26571925795,NA
