"from","to","n_transitions","mean_time","sd_time","min_time","max_time","bayes_factor","posterior_probability","bf_category","supported","avg_jumps","origin_reward","reward_percent"
"asa","cayma",6748,7.82950252761317,1.62333199124824,1.24682548106811,13.2814643210524,2.6900816559659,0.168314631707588,"Weak",FALSE,0.749777777777778,18.73,11.55687736
"asa","ccolorado",3489,7.65588148577042,2.72966585073806,0.990704854537242,12.9070386513873,1.40598730541585,0.0956560382179758,"Weak",FALSE,0.387666666666667,18.73,11.55687736
"asa","characato",2736,3.64636744234623,1.43875089731386,0.0616589985344125,11.0336835565997,2.6368848155445,0.165537162537496,"Weak",FALSE,0.304,18.73,11.55687736
"asa","elpedregal",175,3.46798081292065,1.23561527874763,2.38335486194446,9.93486752679243,0.504288752236893,0.0365514942784135,"Negative",FALSE,0.0194444444444444,18.73,11.55687736
"asa","hunter",19447,5.06716758019635,2.54937851345515,0.414967681710103,13.1328210639047,23.6463960285063,0.640151094322853,"Strong",TRUE,2.16077777777778,18.73,11.55687736
"asa","jlbyr",39590,6.69258149612964,2.52320095760464,0.32215111283255,12.7650968760195,84.5364750041635,0.864126208199089,"Very strong",TRUE,4.39888888888889,18.73,11.55687736
"asa","miraflores",9333,6.56704976583354,2.70314248959252,0.000585177843475115,13.4380046670681,6.9110484684318,0.342073102988557,"Substantial",TRUE,1.037,18.73,11.55687736
"asa","mmelgar",37191,6.68633703869858,3.00360882399417,0.0378614487769102,15.6142949104203,28.6734896679987,0.683257415842684,"Strong",TRUE,4.13233333333333,18.73,11.55687736
"asa","mollebaya",1964,3.29662158400174,1.09249809547232,1.31417519314559,11.4975006169106,1.96064256525185,0.128541273191868,"Weak",FALSE,0.218222222222222,18.73,11.55687736
"asa","paucarpata",10147,4.64908081505716,2.33424007653451,0.753110853002363,13.1073087011711,6.75868477651121,0.337073658482391,"Substantial",TRUE,1.12744444444444,18.73,11.55687736
"asa","sachaca",623,8.87878848537059,1.3072016664609,1.95514802816101,11.8201460788155,1.20298106117493,0.0829907788023553,"Weak",FALSE,0.0692222222222222,18.73,11.55687736
"asa","socabaya",3957,4.96940223412165,2.78594066315906,0.684238186675635,11.7384791015844,2.50855874903067,0.158760137762471,"Weak",FALSE,0.439666666666667,18.73,11.55687736
