node1,node2,length,startLon,startLat,endLon,endLat,endNodeL,startNodeL,startYear,endYear,tipLabel
167,168,4.45811836750547,-70.2218960030405,-15.3867447244248,-70.1072900010926,-15.2615236686217,4.45811836750547,0,2002.38839944756,2006.84651781506,NA
167,171,4.65480742930689,-70.2218960030405,-15.3867447244248,-70.1122025397019,-15.2539234150516,4.65480742930689,0,2002.38839944756,2007.04320687687,NA
171,172,2.50586004086573,-70.1122025397019,-15.2539234150516,-71.5124942974089,-16.3789791465409,7.16066747017262,4.65480742930689,2007.04320687687,2009.54906691773,NA
168,169,3.45459084425912,-70.1072900010926,-15.2615236686217,-70.1031813485701,-15.2503761913564,7.91270921176459,4.45811836750547,2006.84651781506,2010.30110865932,NA
169,170,0.528562163724823,-70.1031813485701,-15.2503761913564,-70.1024465362796,-15.252415358711,8.44127137548941,7.91270921176459,2010.30110865932,2010.82967082305,NA
171,5,3.83816298614955,-70.1122025397019,-15.2539234150516,-70.1129199999941,-15.246589999998,8.49297041545644,4.65480742930689,2007.04320687687,2010.88136986302,3553_2010_2010-11-19
170,3,0.322931916678273,-70.1024465362796,-15.252415358711,-70.1019000000064,-15.2556999999982,8.76420329216768,8.44127137548941,2010.82967082305,2011.15260273973,1101786_2011_2011-02-26
169,2,0.865192710539901,-70.1031813485701,-15.2503761913564,-70.1017999999936,-15.241899999997,8.77790192230449,7.91270921176459,2010.30110865932,2011.16630136986,1101787_2011_2011-03-03
168,1,5.50238704308261,-70.1072900010926,-15.2615236686217,-70.1121399999921,-15.6954993700013,9.96050541058808,4.45811836750547,2006.84651781506,2012.34890485815,1203037_2012_2012-05-08
172,185,3.17433701978194,-71.5124942974089,-16.3789791465409,-71.5185281899946,-16.3812358633671,10.3350044899546,7.16066747017262,2009.54906691773,2012.72340393751,NA
185,186,0.652912038203288,-71.5185281899946,-16.3812358633671,-71.5092104306078,-16.3934553773702,10.9879165281578,10.3350044899546,2012.72340393751,2013.37631597572,NA
185,213,0.903929837276158,-71.5185281899946,-16.3812358633671,-71.5654768876015,-16.336104049651,11.2389343272307,10.3350044899546,2012.72340393751,2013.62733377479,NA
186,187,0.474708905791944,-71.5092104306078,-16.3934553773702,-71.5048367796945,-16.392304751045,11.4626254339498,10.9879165281578,2013.37631597572,2013.85102488151,NA
213,215,0.417131239185053,-71.5654768876015,-16.336104049651,-71.5692577499848,-16.3320504421096,11.6560655664158,11.2389343272307,2013.62733377479,2014.04446501397,NA
215,216,0.25115421619652,-71.5692577499848,-16.3320504421096,-71.5692869644241,-16.3300576067024,11.9072197826123,11.6560655664158,2014.04446501397,2014.29561923017,NA
213,214,0.695239649222989,-71.5654768876015,-16.336104049651,-71.5703095784249,-16.3328508145407,11.9341739764537,11.2389343272307,2013.62733377479,2014.32257342401,NA
187,193,0.817746665262144,-71.5048367796945,-16.392304751045,-71.4987843427509,-16.3896354925077,12.2803720992119,11.4626254339498,2013.85102488151,2014.66877154677,NA
216,220,0.392708150064376,-71.5692869644241,-16.3300576067024,-71.5541943015309,-16.3344901863999,12.2999279326767,11.9072197826123,2014.29561923017,2014.68832738024,NA
215,253,0.809052907770258,-71.5692577499848,-16.3320504421096,-71.5742937246149,-16.3321324282395,12.465118474186,11.6560655664158,2014.04446501397,2014.85351792174,NA
220,221,0.172341911811854,-71.5541943015309,-16.3344901863999,-71.5502885118289,-16.33968176441,12.4722698444885,12.2999279326767,2014.68832738024,2014.86066929205,NA
193,194,0.286494188259857,-71.4987843427509,-16.3896354925077,-71.4964131508865,-16.3905163598952,12.5668662874718,12.2803720992119,2014.66877154677,2014.95526573503,NA
221,228,0.204767870632885,-71.5502885118289,-16.33968176441,-71.536373793123,-16.3531719339066,12.6770377151214,12.4722698444885,2014.86066929205,2015.06543716268,NA
194,197,0.164420668166036,-71.4964131508865,-16.3905163598952,-71.4943865187355,-16.3905356572105,12.7312869556378,12.5668662874718,2014.95526573503,2015.1196864032,NA
187,188,1.35132938314105,-71.5048367796945,-16.392304751045,-71.506774703408,-16.3942610355896,12.8139548170908,11.4626254339498,2013.85102488151,2015.20235426465,NA
193,26,0.549584617612394,-71.4987843427509,-16.3896354925077,-71.5015090400092,-16.3756562699984,12.8299567168243,12.2803720992119,2014.66877154677,2015.21835616438,73_2015_2015-03-22
194,195,0.267048455061994,-71.4964131508865,-16.3905163598952,-71.4958532922878,-16.3955060007433,12.8339147425338,12.5668662874718,2014.95526573503,2015.22231419009,NA
197,198,0.130196741671494,-71.4943865187355,-16.3905356572105,-71.489708511388,-16.3928358225399,12.8614836973093,12.7312869556378,2015.1196864032,2015.24988314487,NA
228,61,0.185795714031325,-71.536373793123,-16.3531719339066,-71.5209474100149,-16.3685611399997,12.8628334291527,12.6770377151214,2015.06543716268,2015.25123287671,114_2015_2015-04-03
253,254,0.578174964364067,-71.5742937246149,-16.3321324282395,-71.5826910101784,-16.3346095223242,13.0432934385501,12.465118474186,2014.85351792174,2015.43169288611,NA
198,199,0.203429545387383,-71.489708511388,-16.3928358225399,-71.4898389132561,-16.3945950601106,13.0649132426967,12.8614836973093,2015.24988314487,2015.45331269026,NA
253,285,0.625329895916217,-71.5742937246149,-16.3321324282395,-71.5712652472087,-16.3301011830597,13.0904483701022,12.465118474186,2014.85351792174,2015.47884781766,NA
188,189,0.291434033703561,-71.506774703408,-16.3942610355896,-71.5056643816879,-16.398786418052,13.1053888507944,12.8139548170908,2015.20235426465,2015.49378829835,NA
186,19,2.15162922976225,-71.5092104306078,-16.3934553773702,-71.5072084600082,-16.4081331799979,13.1395457579201,10.9879165281578,2013.37631597572,2015.52794520548,367_2015_2015-07-13
197,201,0.468437275558406,-71.4943865187355,-16.3905356572105,-71.5013377390906,-16.3873906907527,13.1997242311962,12.7312869556378,2015.1196864032,2015.58812367875,NA
216,217,1.30416276235195,-71.5692869644241,-16.3300576067024,-71.583578776916,-16.3213689157165,13.2113825449642,11.9072197826123,2014.29561923017,2015.59978199252,NA
195,196,0.38023363616851,-71.4958532922878,-16.3955060007433,-71.4958543632949,-16.4000135270126,13.2141483787023,12.8339147425338,2015.22231419009,2015.60254782626,NA
199,200,0.186559994121701,-71.4898389132561,-16.3945950601106,-71.4925332501848,-16.3977626002395,13.2514732368184,13.0649132426967,2015.45331269026,2015.63987268438,NA
201,202,0.0680958913614251,-71.5013377390906,-16.3873906907527,-71.5086871165188,-16.3844765896498,13.2678201225577,13.1997242311962,2015.58812367875,2015.65621957012,NA
196,29,0.0788220367529071,-71.4958543632949,-16.4000135270126,-71.4961851700113,-16.4025578899996,13.2929704154552,13.2141483787023,2015.60254782626,2015.68136986301,560_2015_2015-09-07
199,31,0.280111967279796,-71.4898389132561,-16.3945950601106,-71.4839462999959,-16.3924327999994,13.3450252099765,13.0649132426967,2015.45331269026,2015.73342465754,609_2015_2015-09-26
254,261,0.320289869217078,-71.5826910101784,-16.3346095223242,-71.5815709484672,-16.3362206681538,13.3635833077672,13.0432934385501,2015.43169288611,2015.75198275533,NA
200,32,0.140127315623378,-71.4925332501848,-16.3977626002395,-71.49329888001,-16.4024065400008,13.3916005524418,13.2514732368184,2015.63987268438,2015.78,653_2015_2015-10-13
