node1,node2,length,startLat,startLon,endLat,endLon,endNodeL,startNodeL,startYear,endYear,treeID
149,183,0.242503523062757,-16.3563036330543,-71.570271696152,-16.3523412924139,-71.5672332899635,0.242503523062757,0,2013.82146325466,2014.06396677772,75600000
149,150,0.21884532704274,-16.3563036330543,-71.570271696152,-16.3571264842705,-71.5647559694376,0.21884532704274,0,2013.82146325466,2014.0403085817,75600000
150,151,1.92121350227977,-16.3571264842705,-71.5647559694376,-16.3457356816241,-71.5553306375337,2.14005882932251,0.21884532704274,2014.0403085817,2015.96152208398,75600000
150,153,0.299744481992704,-16.3571264842705,-71.5647559694376,-16.3501812822292,-71.5622126134296,0.518589809035443,0.21884532704274,2014.0403085817,2014.34005306369,75600000
151,3,1.31710805300709,-16.3457356816241,-71.5553306375337,-16.30212347,-71.5314321,3.45716688232961,2.14005882932251,2015.96152208398,2017.27863013699,75600000
151,152,2.66792169351317,-16.3457356816241,-71.5553306375337,-16.3115248386496,-71.5528749136441,4.80798052283568,2.14005882932251,2015.96152208398,2018.62944377749,75600000
152,1,1.45170151781407,-16.3115248386496,-71.5528749136441,-16.31657519,-71.52488176,6.25968204064975,4.80798052283568,2018.62944377749,2020.08114529531,75600000
152,2,1.47902392218579,-16.3115248386496,-71.5528749136441,-16.3177206,-71.60915384,6.28700444502147,4.80798052283568,2018.62944377749,2020.10846769968,75600000
153,154,0.616711503607794,-16.3501812822292,-71.5622126134296,-16.3545092689345,-71.5535315228617,1.13530131264324,0.518589809035443,2014.34005306369,2014.9567645673,75600000
153,179,2.74018104918312,-16.3501812822292,-71.5622126134296,-16.34310945646,-71.5591044656295,3.25877085821856,0.518589809035443,2014.34005306369,2017.08023411288,75600000
154,4,0.29446830941234,-16.3545092689345,-71.5535315228617,-16.36856114,-71.52094741,1.42976962205558,1.13530131264324,2014.9567645673,2015.25123287671,75600000
154,155,1.69078773657749,-16.3545092689345,-71.5535315228617,-16.3440635979554,-71.5421030223551,2.82608904922072,1.13530131264324,2014.9567645673,2016.64755230388,75600000
155,174,0.269430492504325,-16.3440635979554,-71.5421030223551,-16.3453500753089,-71.5440447078838,3.09551954172505,2.82608904922072,2016.64755230388,2016.91698279638,75600000
155,156,2.1795727410437,-16.3440635979554,-71.5421030223551,-16.3316684304224,-71.5494700440588,5.00566179026442,2.82608904922072,2016.64755230388,2018.82712504492,75600000
156,157,0.439510510007238,-16.3316684304224,-71.5494700440588,-16.3352413649171,-71.5621156652422,5.44517230027166,5.00566179026442,2018.82712504492,2019.26663555493,75600000
156,173,0.256850471176293,-16.3316684304224,-71.5494700440588,-16.3406663875677,-71.5505014788832,5.26251226144071,5.00566179026442,2018.82712504492,2019.0839755161,75600000
157,158,1.42057854045879,-16.3352413649171,-71.5621156652422,-16.3249503667435,-71.560745227617,6.86575084073044,5.44517230027166,2019.26663555493,2020.68721409539,75600000
157,21,0.557200061510026,-16.3352413649171,-71.5621156652422,-16.2945582,-71.52127815,6.00237236178168,5.44517230027166,2019.26663555493,2019.82383561644,75600000
