node1,node2,length,startLat,startLon,endLat,endLon,endNodeL,startNodeL,startYear,endYear,treeID
149,177,0.76965787998137,-16.3683864060027,-71.5111007135988,-16.3358361272107,-71.5607753281272,0.76965787998137,0,2013.36030648522,2014.12996436521,63000000
149,150,0.754367327755375,-16.3683864060027,-71.5111007135988,-16.3824910049954,-71.5114444621192,0.754367327755375,0,2013.36030648522,2014.11467381298,63000000
150,28,1.41327139249994,-16.3824910049954,-71.5114444621192,-16.40813318,-71.50720846,2.16763872025532,0.754367327755375,2014.11467381298,2015.52794520548,63000000
150,151,0.0633389710193111,-16.3824910049954,-71.5114444621192,-16.3777383974722,-71.5125469584601,0.817706298774686,0.754367327755375,2014.11467381298,2014.178012784,63000000
151,172,1.19410364859586,-16.3777383974722,-71.5125469584601,-16.3761407360215,-71.5153365410263,2.01180994737055,0.817706298774686,2014.178012784,2015.37211643259,63000000
151,152,0.260418794752814,-16.3777383974722,-71.5125469584601,-16.3812318898606,-71.5108518352898,1.0781250935275,0.817706298774686,2014.178012784,2014.43843157875,63000000
152,153,0.0181784990460621,-16.3812318898606,-71.5108518352898,-16.3813829310509,-71.5107129547422,1.09630359257356,1.0781250935275,2014.43843157875,2014.4566100778,63000000
152,167,0.77293597323141,-16.3812318898606,-71.5108518352898,-16.3908761757657,-71.4956888905326,1.85106106675891,1.0781250935275,2014.43843157875,2015.21136755198,63000000
153,1,1.99885215739957,-16.3813829310509,-71.5107129547422,-16.36897699,-71.5193246,3.09515574997314,1.09630359257356,2014.4566100778,2016.4554622352,63000000
153,154,0.313755348624179,-16.3813829310509,-71.5107129547422,-16.3785178529689,-71.5077864912982,1.41005894119774,1.09630359257356,2014.4566100778,2014.77036542642,63000000
154,2,0.447990737961643,-16.3785178529689,-71.5077864912982,-16.37565627,-71.50150904,1.85804967915938,1.41005894119774,2014.77036542642,2015.21835616438,63000000
154,155,0.331249840294655,-16.3785178529689,-71.5077864912982,-16.399770795503,-71.4974835788072,1.7413087814924,1.41005894119774,2014.77036542642,2015.10161526672,63000000
155,156,0.219574827311646,-16.399770795503,-71.4974835788072,-16.4014162036339,-71.4971486067343,1.96088360880404,1.7413087814924,2015.10161526672,2015.32119009403,63000000
155,166,0.41687071229734,-16.399770795503,-71.4974835788072,-16.3889579208109,-71.4869394628513,2.15817949378974,1.7413087814924,2015.10161526672,2015.51848597901,63000000
156,157,0.072791017113861,-16.4014162036339,-71.4971486067343,-16.4029772734508,-71.4918267154324,2.0336746259179,1.96088360880404,2015.32119009403,2015.39398111114,63000000
156,165,0.575518753518489,-16.4014162036339,-71.4971486067343,-16.4027503476855,-71.5006815314608,2.53640236232253,1.96088360880404,2015.32119009403,2015.89670884755,63000000
157,11,1.34016964864528,-16.4029772734508,-71.4918267154324,-16.44365555,-71.50911405,3.37384427456319,2.0336746259179,2015.39398111114,2016.73415075979,63000000
157,158,1.70570188994436,-16.4029772734508,-71.4918267154324,-16.3695649730116,-71.5216207446367,3.73937651586226,2.0336746259179,2015.39398111114,2017.09968300109,63000000
158,10,0.0830567249410201,-16.3695649730116,-71.5216207446367,-16.36891794,-71.52116468,3.82243324080328,3.73937651586226,2017.09968300109,2017.18273972603,63000000
