from,to,n_transitions,mean_time,sd_time,min_time,max_time,bayes_factor,posterior_probability,bf_category,supported,avg_jumps,origin_reward,reward_percent,trait
external,periurban,17,4.863280994,2.501499794,0.021727948,8.985736855,0.213077439,0.147872459,Negative,FALSE,0.001888889,0.348,0.171259,area
external,urban,26,4.377785666,2.701466072,1.64680453,11.86462677,0.218167818,0.150872125,Negative,FALSE,0.002888889,0.348,0.171259,area
periurban,external,8762,2.863626476,0.336014615,0.716871165,14.63596035,41.6097925,0.971336518,Very strong,TRUE,0.973555556,88.005,43.30933411,area
periurban,urban,107404,5.303641974,2.60246268,0.067392946,14.00047499,11050.89079,1,Decisive,TRUE,11.93377778,88.005,43.30933411,area
urban,external,278,2.866575937,0.316352454,2.507542967,5.92161755,0.086287177,0.065659371,Negative,FALSE,0.030888889,115.258,56.72117755,area
urban,periurban,403808,7.097341053,2.297516117,0.000422309,14.25955972,11050.89079,1,Decisive,TRUE,44.86755556,115.258,56.72117755,area
