node1,node2,length,startLat,startLon,endLat,endLon,endNodeL,startNodeL,startYear,endYear,treeID
167,166,9.96139452461542,-15.2224184270289,-70.1190577206665,-15.69549937,-70.11214,9.96139452461542,0,2002.38751033353,2012.34890485815,156600000
167,168,2.23231764382181,-15.2224184270289,-70.1190577206665,-15.2269146055547,-70.1238355831668,2.23231764382181,0,2002.38751033353,2004.61982797735,156600000
168,330,5.50165365261979,-15.2269146055547,-70.1238355831668,-15.2409945500642,-70.0945356597264,7.7339712964416,2.23231764382181,2004.61982797735,2010.12148162997,156600000
168,169,3.72996374155928,-15.2269146055547,-70.1238355831668,-15.2407283556372,-70.1137895669604,5.96228138538109,2.23231764382181,2004.61982797735,2008.34979171891,156600000
169,162,2.5315781440999,-15.2407283556372,-70.1137895669604,-15.24659,-70.11292,8.49385952948099,5.96228138538109,2008.34979171891,2010.88136986301,156600000
169,170,1.53383392998399,-15.2407283556372,-70.1137895669604,-16.3794312000983,-71.5233643650718,7.49611531536507,5.96228138538109,2008.34979171891,2009.8836256489,156600000
170,171,8.03399553673894,-16.3794312000983,-71.5233643650718,-16.3729318168739,-71.5133699099403,15.530110852104,7.49611531536507,2009.8836256489,2017.91762118564,156600000
170,183,2.22524709137353,-16.3794312000983,-71.5233643650718,-16.3807545963945,-71.4989863359838,9.7213624067386,7.49611531536507,2009.8836256489,2012.10887274027,156600000
171,1,1.63772128011689,-16.3729318168739,-71.5133699099403,-16.37430758,-71.50570585,17.1678321322209,15.530110852104,2017.91762118564,2019.55534246575,156600000
171,172,1.10557445287894,-16.3729318168739,-71.5133699099403,-16.3718128730432,-71.5171477698038,16.635685304983,15.530110852104,2017.91762118564,2019.02319563852,156600000
172,13,0.677352306689946,-16.3718128730432,-71.5171477698038,-16.37467462,-71.5039008,17.3130376116729,16.635685304983,2019.02319563852,2019.70054794521,156600000
172,173,0.36434551561823,-16.3718128730432,-71.5171477698038,-16.3700184849055,-71.5083787263262,17.0000308206012,16.635685304983,2019.02319563852,2019.38754115413,156600000
173,174,1.12435347277756,-16.3700184849055,-71.5083787263262,-16.3248089729923,-72.1776613434246,18.1243842933787,17.0000308206012,2019.38754115413,2020.51189462691,156600000
173,12,0.376020489701846,-16.3700184849055,-71.5083787263262,-16.4420357,-71.5208509,17.376051310303,17.0000308206012,2019.38754115413,2019.76356164384,156600000
174,2,0.659886195006452,-16.3248089729923,-72.1776613434246,-16.310675,-72.180824,18.7842704883852,18.1243842933787,2020.51189462691,2021.17178082192,156600000
174,175,0.0754392287464549,-16.3248089729923,-72.1776613434246,-16.3214881439624,-72.1779750002259,18.1998235221252,18.1243842933787,2020.51189462691,2020.58733385566,156600000
175,181,0.427649079299593,-16.3214881439624,-72.1779750002259,-16.3199561030848,-72.1750733684083,18.6274726014248,18.1998235221252,2020.58733385566,2021.01498293496,156600000
175,176,0.0703600490346448,-16.3214881439624,-72.1779750002259,-16.3209431093791,-72.177181665116,18.2701835711598,18.1998235221252,2020.58733385566,2020.65769390469,156600000
176,177,0.197454339540067,-16.3209431093791,-72.177181665116,-16.3167663368996,-72.176141033436,18.4676379106999,18.2701835711598,2020.65769390469,2020.85514824423,156600000
176,3,0.514086917225352,-16.3209431093791,-72.177181665116,-16.333763,-72.17603,18.7842704883852,18.2701835711598,2020.65769390469,2021.17178082192,156600000
177,178,0.151335817919276,-16.3167663368996,-72.176141033436,-16.317263640501,-72.1754400293172,18.6189737286192,18.4676379106999,2020.85514824423,2021.00648406215,156600000
177,4,0.239920248918142,-16.3167663368996,-72.176141033436,-16.32003749,-72.17833375,18.707558159618,18.4676379106999,2020.85514824423,2021.09506849315,156600000
178,180,0.520193045631624,-16.317263640501,-72.1754400293172,-16.3226074208425,-72.1758956406039,19.1391667742508,18.6189737286192,2021.00648406215,2021.52667710778,156600000
178,179,0.0938467666495058,-16.317263640501,-72.1754400293172,-16.3238140863456,-72.182057694878,18.7128204952687,18.6189737286192,2021.00648406215,2021.1003308288,156600000
179,5,0.175559582157677,-16.3238140863456,-72.182057694878,-16.32494862,-72.18179114,18.8883800774264,18.7128204952687,2021.1003308288,2021.27589041096,156600000
179,6,0.041313006815118,-16.3238140863456,-72.182057694878,-16.3277413,-72.18033884,18.7541335020838,18.7128204952687,2021.1003308288,2021.14164383562,156600000
180,7,0.0752407004358631,-16.3226074208425,-72.1758956406039,-16.38321775,-72.19833388,19.2144074746867,19.1391667742508,2021.52667710778,2021.60191780822,156600000
180,8,0.0752407004358631,-16.3226074208425,-72.1758956406039,-16.31916435,-72.17306338,19.2144074746867,19.1391667742508,2021.52667710778,2021.60191780822,156600000
181,9,0.137619804768675,-16.3199561030848,-72.1750733684083,-16.307302,-72.17536,18.7650924061935,18.6274726014248,2021.01498293496,2021.15260273973,156600000
181,182,0.155404408045962,-16.3199561030848,-72.1750733684083,-16.3124675608052,-72.1742694402746,18.7828770094707,18.6274726014248,2021.01498293496,2021.170387343,156600000
182,10,0.267146903571974,-16.3124675608052,-72.1742694402746,-16.3489947,-72.20092481,19.0500239130427,18.7828770094707,2021.170387343,2021.43753424658,156600000
182,11,0.0370099172705425,-16.3124675608052,-72.1742694402746,-16.30828596,-72.17553218,18.8198869267413,18.7828770094707,2021.170387343,2021.20739726027,156600000
183,303,0.182053252162817,-16.3807545963945,-71.4989863359838,-16.3803729835207,-71.498302532834,9.90341565890142,9.7213624067386,2012.10887274027,2012.29092599243,156600000
183,184,1.47441736700191,-16.3807545963945,-71.4989863359838,-16.3247521255639,-71.5564961435148,11.1957797737405,9.7213624067386,2012.10887274027,2013.58329010727,156600000
