null_raster,SES_affluence_C
1,685.056563237421
1,682.131161217804
1,691.394935061093
1,653.364706410483
1,676.280356866101
1,680.668460676695
1,675.30522244294
1,663.603614156157
1,698.708440474683
1,678.230625295802
1,678.718192038683
1,685.05656302911
1,714.310585933334
1,715.28571931494
1,698.708440162216
1,663.426620692423
1,683.593861863068
1,687.006831771278
1,683.106295640965
1,708.459781165009
1,674.817655700059
1,672.867387895291
1,671.404686416782
1,688.957100617601
1,684.568996598696
1,668.808224717232
1,700.658708696072
1,674.330088853022
1,704.559244618074
1,701.146275647264
1,684.568996494541
1,688.957099367734
1,698.708440682994
1,681.156027211264
1,686.031698077205
1,691.394934852783
1,681.643595099856
1,706.997079894811
1,668.966851764978
1,712.84788455898
1,687.494398410003
1,707.457930995993
1,678.230624670868
1,654.827407368214
1,658.534253159615
1,708.947348324512
1,666.041449641205
1,707.921949878181
1,685.056563758199
1,690.41980115871
1,683.10629553681
1,681.528381347656
1,709.434915275704
1,690.33464374281
1,675.305222859562
1,667.991717133506
1,697.183958497766
1,675.305223276184
1,687.006831458811
1,691.882502116441
1,687.494399139092
1,685.056563654044
1,673.842521485208
1,684.081429647504
1,684.081429439193
1,671.404686833404
1,693.345203178328
1,687.494399034936
1,692.857635914669
1,684.463802076366
1,695.783038038443
1,674.817656116681
1,691.882501595663
1,708.947348220357
1,678.592960827971
1,694.737774470081
1,701.146275855575
1,696.270605406257
1,694.320337289023
1,687.49439872247
1,689.757983125772
1,682.618728273151
1,681.643593849989
1,676.280356761945
1,680.668459947605
1,678.718192351149
1,704.071677771038
1,691.882501699819
1,690.419801262865
1,690.907367797435
1,690.419801054554
1,689.444666423081
1,666.529016592397
1,699.683574481222
1,687.006831458811
1,698.708440787149
1,694.807904240214
1,687.494398514158
1,694.807904240214
1,672.86738768698
