null_raster,SES_affluence_R
1,7.84056558950769
1,7.81131157045072
1,7.90394930627973
1,7.52364701703954
1,7.75280352419961
1,7.79668455970165
1,7.74305220024578
1,7.62603609553783
1,7.97708435677017
1,7.77230620221473
1,7.77718187843167
1,7.84056560171342
1,8.13310581669466
1,8.14285715773651
1,7.97708437141705
1,7.62426615659505
1,7.82593858852321
1,7.86006826915025
1,7.82106290905142
1,8.07459777451212
1,7.73817651426426
1,7.71867383624913
1,7.70404682387264
1,7.87957094228308
1,7.83568991898677
1,7.67808220974387
1,7.99658705431447
1,7.73330084537077
1,8.03559241278586
1,8.0014627142571
1,7.83568992468277
1,7.87957096262597
1,7.97708434944674
1,7.80156022778143
1,7.85031692973583
1,7.90394930383858
1,7.80643589830236
1,8.05997076620421
1,7.679668459876
1,8.11847879699473
1,7.86494395024947
1,8.06457927782242
1,7.77230620465588
1,7.53827402372002
1,7.57534247473495
1,8.07947344177819
1,7.65041443919159
1,8.06921943766145
1,7.84056558543912
1,7.89419796279673
1,7.82106290498284
1,7.8052837726188
1,8.08434911067169
1,7.89334639866058
1,7.74305218478518
1,7.66991713103988
1,7.96183954036399
1,7.74305217908918
1,7.8600682772874
1,7.90882497842808
1,7.86494393723003
1,7.8405655952037
1,7.72842517484984
1,7.83081425009327
1,7.83081425660299
1,7.70404681980407
1,7.92345199568687
1,7.86494393885746
1,7.9185763178425
1,7.83463797993856
1,7.94783034503663
1,7.73817650694082
1,7.90882498086923
1,8.07947344666048
1,7.77592956203304
1,7.93737771086497
1,8.00146271344338
1,7.95270600986155
1,7.93320332045441
1,7.86494395106319
1,7.88757978599915
1,7.81618724259907
1,7.8064359007435
1,7.75280352338589
1,7.79668456865252
1,7.77718187599052
1,8.03071673982379
1,7.90882498005551
1,7.89419796035558
1,7.89907363982738
1,7.89419796035558
1,7.88444663233318
1,7.65529011540853
1,7.9868357124589
1,7.86006828461084
1,7.97708436246618
1,7.93807899585763
1,7.86494394780833
1,7.9380789942302
1,7.71867383055313
