LR1_coefficients_null_raster	LR1_coefficients_lyr.1_R	LR1_R2_null_raster	LR1_R2_lyr.1_R	LR1_Q_lyr.1_R	LR2_coefficients_null_raster	LR2_coefficients_lyr.1_R	LR2_R2_null_raster	LR2_R2_lyr.1_R	LR2_Q_lyr.1_R
0.00900567904249643	0.00900567904249643	0.0852539411500502	0.0852539411500502	0	0.000249312213201075	0.000249312213201075	0.0318336213661083	0.0318336213661083	0
0.00709261107629482	0.00709261107629482	0.0449666710408697	0.0449666710408697	0	0.000224017770843076	0.000224017770843076	0.0165605544880432	0.0165605544880432	0
0.00769847013371499	0.00769847013371499	0.0335535666281145	0.0335535666281145	0	0.000196993991523941	0.000196993991523941	0.00738478822588077	0.00738478822588077	0
0.0079298758932325	0.0079298758932325	0.055084576564951	0.055084576564951	0	0.000188869855617948	0.000188869855617948	0.012215939462694	0.012215939462694	0
0.0101198371814072	0.0101198371814072	0.06595186519419	0.06595186519419	0	0.000253950686140568	0.000253950686140568	0.0153472086003539	0.0153472086003539	0
0.0103815247285852	0.0103815247285852	0.102746853337434	0.102746853337434	0	0.000359120810372496	0.000359120810372496	0.0473112432349294	0.0473112432349294	0
0.00913742416651822	0.00913742416651822	0.0841101821855359	0.0841101821855359	0	0.000246866085276892	0.000246866085276892	0.0239262214007748	0.0239262214007748	0
0.00542119302342565	0.00542119302342565	0.0269398561823459	0.0269398561823459	0	0.00017305460116603	0.00017305460116603	0.0112881689540197	0.0112881689540197	0
0.01539722801696	0.01539722801696	0.165467990766538	0.165467990766538	0	0.000652824867390547	0.000652824867390547	0.0927988747130182	0.0927988747130182	0
0.010737504343198	0.010737504343198	0.0585023553875123	0.0585023553875123	0	0.000323571059226193	0.000323571059226193	0.0190144301448975	0.0190144301448975	0
0.00549878992216957	0.00549878992216957	0.0245849513592039	0.0245849513592039	0	9.87359729298432e-05	9.87359729298432e-05	0.00381890307275877	0.00381890307275877	0
0.0115261337160456	0.0115261337160456	0.122926690580589	0.122926690580589	0	0.000367525632975245	0.000367525632975245	0.055723259915491	0.055723259915491	0
0.0127863386901262	0.0127863386901262	0.0995359562127789	0.0995359562127789	0	0.000457433698441386	0.000457433698441386	0.0457991643310933	0.0457991643310933	0
0.0100008336131982	0.0100008336131982	0.0844613490272275	0.0844613490272275	0	0.000288374849994646	0.000288374849994646	0.0317780312418189	0.0317780312418189	0
0.0111541222942896	0.0111541222942896	0.0743417296413102	0.0743417296413102	0	0.000322477723366209	0.000322477723366209	0.0241370622302761	0.0241370622302761	0
0.000783351558969244	0.000783351558969244	0.00116282351688106	0.00116282351688106	0	2.18234724131565e-05	2.18234724131565e-05	0.000695173986111855	0.000695173986111855	0
0.00877267361114184	0.00877267361114184	0.0556724246546388	0.0556724246546388	0	0.00025601475533184	0.00025601475533184	0.0159534394381643	0.0159534394381643	0
0.0115574832127823	0.0115574832127823	0.0953785462426279	0.0953785462426279	0	0.00039216720633382	0.00039216720633382	0.0410470455932175	0.0410470455932175	0
0.00874457227931466	0.00874457227931466	0.0616370359087082	0.0616370359087082	0	0.000220282374965409	0.000220282374965409	0.0155137885765447	0.0155137885765447	0
0.0138010025868565	0.0138010025868565	0.120164968680673	0.120164968680673	0	0.000457240538488876	0.000457240538488876	0.04707667355608	0.04707667355608	0
0.00732603451696526	0.00732603451696526	0.0340578194716023	0.0340578194716023	0	0.000175454073976617	0.000175454073976617	0.00651692443953273	0.00651692443953273	0
0.00923983757470773	0.00923983757470773	0.0731552822760087	0.0731552822760087	0	0.000233236234231444	0.000233236234231444	0.019593422121112	0.019593422121112	0
0.0115298829587093	0.0115298829587093	0.0967952936282223	0.0967952936282223	0	0.000384205908874961	0.000384205908874961	0.0463471263200099	0.0463471263200099	0
0.00950378985738997	0.00950378985738997	0.0647233213387936	0.0647233213387936	0	0.000274852080694606	0.000274852080694606	0.0200303267275124	0.0200303267275124	0
0.00808775639550999	0.00808775639550999	0.0471747793510105	0.0471747793510105	0	0.000191334587806279	0.000191334587806279	0.0106573660685388	0.0106573660685388	0
0.000172055566317573	0.000172055566317573	6.44512320803755e-05	6.44512320803755e-05	0	1.4544014468291e-05	1.4544014468291e-05	0.000322030739924693	0.000322030739924693	0
0.0122532806180355	0.0122532806180355	0.0869044944489116	0.0869044944489116	0	0.000435726434191198	0.000435726434191198	0.0347461497206748	0.0347461497206748	0
0.00781442047339453	0.00781442047339453	0.053647509824598	0.053647509824598	0	0.00025341847669129	0.00025341847669129	0.0177349223897723	0.0177349223897723	0
0.0111382179985864	0.0111382179985864	0.0855927492099293	0.0855927492099293	0	0.000398066197785136	0.000398066197785136	0.0389847628601244	0.0389847628601244	0
0.0096871422586595	0.0096871422586595	0.0769642420850322	0.0769642420850322	0	0.000292557275413538	0.000292557275413538	0.0298198109218206	0.0298198109218206	0
0.00967355187011707	0.00967355187011707	0.0628763232484028	0.0628763232484028	0	0.000310857428258632	0.000310857428258632	0.0232677252495418	0.0232677252495418	0
0.00907980251524384	0.00907980251524384	0.0517536296777454	0.0517536296777454	0	0.000214756229448185	0.000214756229448185	0.0113994995185511	0.0113994995185511	0
0.0113843060549225	0.0113843060549225	0.0933118304352608	0.0933118304352608	0	0.000424943661941255	0.000424943661941255	0.0477283033619184	0.0477283033619184	0
0.00978050094496967	0.00978050094496967	0.0695302223449934	0.0695302223449934	0	0.000239373227480533	0.000239373227480533	0.017515453111449	0.017515453111449	0
0.00678519885948498	0.00678519885948498	0.0372620822555771	0.0372620822555771	0	0.000152564892776077	0.000152564892776077	0.00795040119972657	0.00795040119972657	0
