LR1_coefficients_null_raster	LR1_coefficients_per_pop_2025_CN_100m_R2025A_v1_C	LR1_R2_null_raster	LR1_R2_per_pop_2025_CN_100m_R2025A_v1_C	LR1_Q_per_pop_2025_CN_100m_R2025A_v1_C	LR2_coefficients_null_raster	LR2_coefficients_per_pop_2025_CN_100m_R2025A_v1_C	LR2_R2_null_raster	LR2_R2_per_pop_2025_CN_100m_R2025A_v1_C	LR2_Q_per_pop_2025_CN_100m_R2025A_v1_C
0.0082874349742427	0.140917079223902	0.0718208327911743	0.0246955296954492	-0.0471253030957251	0.000221683629887479	0.0522686619454988	0.0255553927105621	0.00241685980240781	-0.0231385329081543
0.00606607708203459	0.054582881001233	0.0378034795048099	0.00749595317396089	-0.030307526330849	0.000192341127008058	-0.00777423223113847	0.0147454382347038	0.000773749876404255	-0.0139716883582995
0.00716099072524433	0.101650870409344	0.0306487359145213	0.0147700205056953	-0.015878715408826	0.000185833435665804	0.0175138469892463	0.00723783339831717	0.0016246784851136	-0.00561315491320357
0.00811494220503469	0.157162165378329	0.0574601216442218	0.0322317855082653	-0.0252283361359565	0.000203895923042219	0.12667850290475	0.0141985906758289	0.0115924286219304	-0.00260616205389855
0.0104239413305433	0.0940469244683494	0.0706489892125939	0.0142986738311408	-0.056350315381453	0.000267362332135181	0.00157203379674949	0.0158937442434107	1.31150432489221e-05	-0.0158806292001617
0.00908090493742489	0.140513935957141	0.0812208392643022	0.0254101804930581	-0.0558106587712441	0.000291765177585714	0.0623205938999848	0.0311234689563738	0.00349996318609426	-0.0276235057702795
0.00918911578236778	0.221227399677261	0.0856687088669478	0.0540072155087435	-0.0316614933582042	0.000246562865654862	0.172919514967038	0.0246964952835447	0.0121079076577214	-0.0125885876258233
0.0052923732001507	0.0333653993316134	0.0263002613152066	0.00261865606991763	-0.0236816052452889	0.00017343222304474	-0.000947399865405048	0.0117371975320508	3.86946259282212e-06	-0.011733328069458
0.0146316400142628	0.243276472354929	0.159073509089956	0.0802400196173182	-0.0788334894726373	0.000623251316109416	0.203934719299786	0.0928415250502684	0.0336355927317233	-0.0592059323185451
0.0104515940078446	0.113643153641249	0.0657635287977507	0.0198113329175678	-0.0459521958801829	0.000335863233677073	0.0176884509271534	0.02474986672346	0.00182334399042476	-0.0229265227330352
0.00697127210592457	0.0886592171632646	0.0325632120448941	0.0141218794378958	-0.0184413326069983	0.000175200213877913	0.0118741870690452	0.00839435620617967	0.00110167069719004	-0.00729268550898963
0.0106324856632362	0.0707685775663363	0.107877557352324	0.0160027469948457	-0.0918748103574778	0.000420043284256818	0.032748580567158	0.0620502526709038	0.00520657390992554	-0.0568436787609782
0.0123252417944172	0.128715416735159	0.105348906154637	0.0278089047225256	-0.0775400014321119	0.000443953553394468	0.0352344181583613	0.0512018202759955	0.00727069498826497	-0.0439311252877305
0.0089986189478111	0.255725312043139	0.0869977835984518	0.0822500724828689	-0.00474771111558295	0.000245110762524797	0.208762020499084	0.03126627496442	0.0356023539569066	0.0043360789924866
0.012065250962022	0.224792995649822	0.0910614416545006	0.0427073298641265	-0.0483541117903742	0.000373132515086114	0.156217427664795	0.034706896616103	0.0177052789752873	-0.0170016176408157
0.00084001460078516	0.024825610173036	0.00119724579705042	0.00333857400078392	0.0021413282037335	2.54845641052573e-05	0.00723249360451351	0.000803389967058218	0.00161632487366464	0.000812934906606422
0.00808734439470345	0.0812139018565022	0.0513405049873574	0.0155201239371756	-0.0358203810501818	0.000225401214949518	0.0173974386730751	0.0139292239703492	0.00233509115684744	-0.0115941328135018
0.0118840248431312	0.163833536364386	0.123236571202301	0.0318898768546563	-0.0913466943476451	0.000414004638766618	0.114408606605169	0.0559114591744594	0.0106883000214652	-0.0452231591529942
0.00894540198053968	0.144205635492602	0.0646966854772865	0.0274369243950313	-0.0372597610822553	0.000228347877461314	0.0594035584157596	0.0168482632149663	0.00380628339975729	-0.013041979815209
0.0148002804278379	0.11806461424493	0.131705734134137	0.0272675351996311	-0.104438198934505	0.000541001344844671	0.022369447839837	0.0597190467229695	0.00262974904968188	-0.0570892976732876
0.00747051168222342	0.0985585317319913	0.0371477684894101	0.0120466108112997	-0.0251011576781104	0.000190110350637071	0.0608233023314756	0.00820458833007914	0.00430313699995858	-0.00390145133012056
0.00898809861940214	0.115778490255087	0.0763083705217069	0.0265039920281367	-0.0498043784935702	0.000226928574647488	0.00417657778512429	0.0211665658731065	0.000132610448518866	-0.0210339554245876
0.0111063793290995	0.124344451499052	0.0972389619606012	0.0237596102828364	-0.0734793516777647	0.000397616363322213	0.0421488225012835	0.0528580533812256	0.00362768843208213	-0.0492303649491435
0.00887103319861948	0.107838750235368	0.0636664093500598	0.0239172546668541	-0.0397491546832057	0.000266292232312953	0.0238702499931275	0.0213957319549225	0.00423347788229819	-0.0171622540726243
0.00973827005752918	0.227403971464481	0.0558480133515992	0.0261357544761279	-0.0297122588754713	0.000303643115234637	0.168501590657279	0.0179400343917227	0.00280014923735001	-0.0151398851543727
0.00170415145902763	0.0223317542052321	0.00528667236375107	0.00324662922536946	-0.00204004313838161	9.40573127900509e-05	0.00586540062781268	0.00973695143193413	0.00121800165903225	-0.00851894977290187
0.0121785526995373	0.158804033477043	0.11859188008833	0.0477593870925203	-0.0708324929958095	0.000448970701803277	0.0888978292209436	0.0534974650949248	0.0173385760183251	-0.0361588890765997
0.00783730847739918	0.0634544780012548	0.0602297763966755	0.0131481767779391	-0.0470815996187364	0.000260154461943818	0.00502132661031755	0.0213679841197271	0.000396869381687671	-0.0209711147380394
0.00906922830788864	0.0793950465385593	0.0711231005934749	0.0132006726817772	-0.0579224279116976	0.000322325362746352	0.0139466984728625	0.0342870396079492	0.00147789787853242	-0.0328091417294168
0.0089429573319066	0.0865325297811617	0.0743459127366456	0.016380237392668	-0.0579656753439777	0.000260118643988812	0.00023742061154376	0.0276860876069036	5.72513439841383e-07	-0.0276855150934638
