LR1_coefficients_null_raster	LR1_coefficients_per_pop_2025_CN_100m_R2025A_v1_R	LR1_R2_null_raster	LR1_R2_per_pop_2025_CN_100m_R2025A_v1_R	LR1_Q_per_pop_2025_CN_100m_R2025A_v1_R	LR2_coefficients_null_raster	LR2_coefficients_per_pop_2025_CN_100m_R2025A_v1_R	LR2_R2_null_raster	LR2_R2_per_pop_2025_CN_100m_R2025A_v1_R	LR2_Q_per_pop_2025_CN_100m_R2025A_v1_R
0.0082874349742427	0.000518179468342979	0.0718208327911743	0.0567090462748484	-0.0151117865163259	0.000221683629887479	1.58829562240643e-06	0.0255553927105621	0.0344252415795569	0.00886984886899476
0.00606607708203459	0.000323090980779119	0.0378034795048099	0.0258782558900983	-0.0119252236147116	0.000192341127008058	9.44535377813644e-07	0.0147454382347038	0.0155066290845861	0.000761190849882347
0.00716099072524433	0.00040122410874524	0.0306487359145213	0.0260250712442088	-0.0046236646703125	0.000185833435665804	1.07564468194372e-06	0.00723783339831717	0.0133089612071377	0.00607112780882053
0.00811494220503469	0.000403865577324606	0.0574601216442218	0.0343740453942235	-0.0230860762499983	0.000203895923042219	1.10045576237796e-06	0.0141985906758289	0.0166384527410608	0.00243986206523193
0.0104239413305433	0.000662985645230876	0.0706489892125939	0.0685746749261857	-0.00207431428640813	0.000267362332135181	1.6589345849526e-06	0.0158937442434107	0.0306927537946935	0.0147990095512829
0.00908090493742489	0.000513577790522153	0.0812208392643022	0.0653424342729012	-0.015878404991401	0.000291765177585714	1.63058886796176e-06	0.0311234689563738	0.0484347303906578	0.017311261434284
0.00918911578236778	0.0004135873117138	0.0856687088669478	0.0438320703977599	-0.0418366384691878	0.000246562865654862	1.49628322232055e-06	0.0246964952835447	0.0353352139960368	0.0106387187124921
0.0052923732001507	0.000332551550133784	0.0263002613152066	0.0195736321150083	-0.00672662920019823	0.00017343222304474	8.64123544245752e-07	0.0117371975320508	0.00678862313257534	-0.00494857439947546
0.0146316400142628	0.0006343016444628	0.159073509089956	0.0664110206591819	-0.0926624884307736	0.000623251316109416	2.26026993198501e-06	0.0928415250502684	0.0530481952212618	-0.0397933298290066
0.0104515940078446	0.000473556110766627	0.0657635287977507	0.0314156985036791	-0.0343478302940716	0.000335863233677073	1.49234043161844e-06	0.02474986672346	0.0233513762052138	-0.00139849051824619
0.00697127210592457	0.000364259195829785	0.0325632120448941	0.0202578491832432	-0.0123053628616509	0.000175200213877913	1.33981484276561e-06	0.00839435620617967	0.0186031166651233	0.0102087604589436
0.0106324856632362	0.000459258598302812	0.107877557352324	0.047563518073473	-0.0603140392788506	0.000420043284256818	1.80282974116931e-06	0.0620502526709038	0.0417686888239891	-0.0202815638469147
0.0123252417944172	0.000697860618614024	0.105348906154637	0.0801638578563018	-0.0251850482983357	0.000443953553394468	2.17879502988196e-06	0.0512018202759955	0.054798483335137	0.00359666305914146
0.0089986189478111	0.000267544264965189	0.0869977835984518	0.0168225951368843	-0.0701751884615676	0.000245110762524797	7.23249122235785e-07	0.03126627496442	0.00888671626953298	-0.022379558694887
0.012065250962022	0.000654260030560076	0.0910614416545006	0.0640950784473116	-0.026966363207189	0.000373132515086114	1.95621701203924e-06	0.034706896616103	0.0418646290414565	0.00715773242535354
0.00084001460078516	3.93306137580038e-05	0.00119724579705042	0.000343806295547412	-0.000853439501503008	2.54845641052573e-05	-1.57929380628482e-08	0.000803389967058218	8.44514476169088e-06	-0.000794944822296528
0.00808734439470345	0.000465168446876491	0.0513405049873574	0.0423817311992813	-0.00895877378807614	0.000225401214949518	1.55006181316342e-06	0.0139292239703492	0.0240650517884122	0.010135827818063
0.0118840248431312	0.000505423684494541	0.123236571202301	0.0605597193219098	-0.0626768518803915	0.000414004638766618	1.04321496596917e-06	0.0559114591744594	0.020497177978469	-0.0354142811959903
0.00894540198053968	0.00042522174389369	0.0646966854772865	0.0329941626217058	-0.0317025228555808	0.000228347877461314	9.39603079552093e-07	0.0168482632149663	0.0143522750514624	-0.00249598816350387
0.0148002804278379	0.000655868230265363	0.131705734134137	0.0635825966702031	-0.0681231374639334	0.000541001344844671	2.34340644692683e-06	0.0597190467229695	0.0507259471542743	-0.00899309956869514
0.00747051168222342	0.000409381954256974	0.0371477684894101	0.0251043462099705	-0.0120434222794396	0.000190110350637071	7.05220083581982e-07	0.00820458833007914	0.00532208005052115	-0.00288250827955799
0.00898809861940214	0.000630297535436191	0.0763083705217069	0.079451066963662	0.00314269644195508	0.000226928574647488	2.11150532358592e-06	0.0211665658731065	0.055174678373858	0.0340081125007515
0.0111063793290995	0.000515274078873629	0.0972389619606012	0.0452510798588326	-0.0519878821017686	0.000397616363322213	1.84810255719325e-06	0.0528580533812256	0.0346432438313947	-0.0182148095498308
0.00887103319861948	0.000395145562521059	0.0636664093500598	0.0362592461134659	-0.0274071632365939	0.000266292232312953	1.06607631962574e-06	0.0213957319549225	0.024412999462366	0.0030172675074435
0.00973827005752918	0.000398870338925297	0.0558480133515992	0.026566413465881	-0.0292815998857182	0.000303643115234637	1.09491861456374e-06	0.0179400343917227	0.0132120913136609	-0.00472794307806183
0.00170415145902763	0.000134327329566531	0.00528667236375107	0.0057540391955696	0.000467366831818521	9.40573127900509e-05	4.32908402888051e-07	0.00973695143193413	0.00846301379672069	-0.00127393763521343
0.0121785526995373	0.0006063119294034	0.11859188008833	0.0749415602812398	-0.04365031980709	0.000448970701803277	1.78660617595099e-06	0.0534974650949248	0.0440937523894376	-0.00940371270548725
0.00783730847739918	0.000400447582299455	0.0602297763966755	0.0417771192473026	-0.0184526571493729	0.000260154461943818	9.65580184568641e-07	0.0213679841197271	0.018006450069918	-0.00336153404980911
0.00906922830788864	0.000307733933914645	0.0711231005934749	0.0213828035806587	-0.0497402970128162	0.000322325362746352	7.70797762652013e-07	0.0342870396079492	0.00956205450000766	-0.0247249851079416
0.0089429573319066	0.000464522396499257	0.0743459127366456	0.0420271579487108	-0.0323187547879349	0.000260118643988812	1.50175607610814e-06	0.0276860876069036	0.0297633509270147	0.00207726332011109
0.00773677473085845	0.000268347269974298	0.0578130005220713	0.016830043191231	-0.0409829573308404	0.00028019803731944	1.08943972289658e-06	0.0284649583966184	0.0193797292550195	-0.00908522914159894
0.0090091103969971	0.000370900649056574	0.0550332955471546	0.0204368292322215	-0.0345964663149331	0.000226815685204444	9.48728550898449e-07	0.0143714961227239	0.00789413667859874	-0.00647735944412519
0.0093487997830865	0.00034406949256622	0.0729523351232712	0.0220092948854658	-0.0509430402378054	0.000320617264128589	8.48152699325268e-07	0.0327231290813265	0.00755013717456057	-0.0251729919067659
0.0105518013233209	0.00037149507147918	0.0757748160006059	0.0230507493788063	-0.0527240666217996	0.000275414114161344	8.93593407382634e-07	0.0218171567437407	0.0084109183690789	-0.0134062383746618
0.00874689552124893	0.000431542453777845	0.0543109230831176	0.0317375090944265	-0.0225734139886911	0.000242595493811696	1.37220594285371e-06	0.0160320130500152	0.0189237804577746	0.00289176740775939
0.012804391438496	0.000635330848143908	0.153354065338583	0.0851320091224625	-0.0682220562161209	0.000529062106101262	2.37312299905024e-06	0.088232285463905	0.0656129035482766	-0.0226193819156284
0.0121043399600808	0.000624720848829258	0.103925626649438	0.0689019017706992	-0.0350237248787392	0.000391822548327458	1.99037105714594e-06	0.0398770816027986	0.0436675941192309	0.00379051251643226
0.00790798175290267	0.000389822372678188	0.0451840175469637	0.0251157996116595	-0.0200682179353043	0.000212733627305129	1.53541710344364e-06	0.0133719881938094	0.0211460519445513	0.00777406375074181
0.0141879109300082	0.000709759046929312	0.11561088555389	0.0709886106305223	-0.0446222749233676	0.000440106067709854	2.44235187848534e-06	0.0434952852467354	0.0568868357540756	0.0133915505073402
0.012262342779512	0.000443522218587857	0.108941552417195	0.0430666022029707	-0.0658749502142241	0.000534447176427563	1.41046311152311e-06	0.0670539703335049	0.0321615702714196	-0.0348924000620852
