time	distance
1970.21235235042	0
1972.9607347329	0
1975.70911711538	0
1978.45749949786	0
1981.20588188034	0
1983.95426426281	0
1986.70264664529	0.43620845897211
1989.45102902777	1.01867102766937
1992.19941141025	1.70356436053113
1994.94779379273	2.36070576712633
1997.69617617521	3.01208142050677
2000.44455855769	3.67307078882782
2003.19294094017	4.33539007492924
2005.94132332265	5.0969147721242
2008.68970570513	6.59437011092017
2011.4380880876	9.3003604426554
2014.18647047008	19.6505150440631
2016.93485285256	40.8941956637012
2019.68323523504	65.7249761093999
2022.43161761752	106.200316876273
2025.18	106.200316876273
