time	distance
2011.46168814946	0
2012.14760374199	0
2012.83351933451	0
2013.51943492704	2.39221702396411
2014.20535051957	8.97741117993789
2014.8912661121	13.7618454379294
2015.57718170462	18.4712606138539
2016.26309729715	21.8785760730309
2016.94901288968	30.263821666859
2017.6349284822	31.7136971343663
2018.32084407473	33.2561321514782
2019.00675966726	35.1122100863816
2019.69267525978	38.8379133751519
2020.37859085231	38.8379133751519
2021.06450644484	41.5761540848185
2021.75042203737	50.3551890338143
2022.43633762989	96.5847215089053
2023.12225322242	96.5847215089053
2023.80816881495	96.5847215089053
2024.49408440747	96.5847215089053
2025.18	96.5847215089053
