time	95%HPD_lower_value	95%HPD_higher_value
2011.46168814946	0	0
2012.14760374199	0	0
2012.83351933451	0	3.36791497238315
2013.51943492704	0	9.36190650844215
2014.20535051957	0	12.5012241019151
2014.8912661121	5.99914384974981	14.0671016597037
2015.57718170462	7.95794373810815	15.4405789375084
2016.26309729715	8.25615544701526	17.3412982602179
2016.94901288968	13.0581853849231	20.597955025736
2017.6349284822	13.0581853849231	20.597955025736
2018.32084407473	13.0581853849231	20.597955025736
2019.00675966726	13.0581853849231	20.597955025736
2019.69267525978	13.0581853849231	20.597955025736
2020.37859085231	13.0581853849231	20.597955025736
2021.06450644484	13.0750182222361	20.597955025736
2021.75042203737	14.5154335446139	22.3947887518133
2022.43633762989	29.567746490618	58.3876639087212
2023.12225322242	29.567746490618	58.3876639087212
2023.80816881495	29.567746490618	58.3876639087212
2024.49408440747	29.567746490618	58.3876639087212
2025.18	29.567746490618	58.3876639087212
