time	diffusion_coefficient	number_of_branches
2011.80464594572	0.137337951588633	0
2012.49056153825	1.60635554838297	0
2013.17647713078	4.02131387948604	2
2013.8623927233	4.40424162494884	9.5
2014.54830831583	2.06704887318037	22
2015.23422390836	2.13701877889491	50
2015.92013950089	3.25440932442791	70.5
2016.60605509341	6.62575631971691	68
2017.29197068594	4.9820137487941	65
2017.97788627847	4.34231032222451	64
2018.66380187099	3.17571550388084	48
2019.34971746352	7.76430111913525	32
2020.03563305605	9.24562891204331	29
2020.72154864857	6.8577923083809	37
2021.4074642411	8.3764555568646	49
2022.09337983363	74.5279650982511	42
2022.77929542616	30.7763179596809	35
2023.46521101868	3.33049556575206	25.5
2024.15112661121	1.02816573954102	6
2024.83704220374	0.304264577293286	1
