time	diffusion_coefficient	number_of_branches
2011.80464594572	0.136076954289782	0
2012.49056153825	1.37366164863605	0
2013.17647713078	3.87978184798289	2
2013.8623927233	3.49396080211154	9.5
2014.54830831583	2.79452270360037	22
2015.23422390836	2.57455527582082	50
2015.92013950089	3.08805391311301	70.5
2016.60605509341	5.92821513768658	68
2017.29197068594	5.68604596021691	65
2017.97788627847	4.18580058587906	64
2018.66380187099	3.25817061160479	48
2019.34971746352	6.51505782187731	32
2020.03563305605	6.08903983473666	29
2020.72154864857	7.20314321361173	37
2021.4074642411	8.28563823464796	49
2022.09337983363	50.0830200993597	42
2022.77929542616	33.7150003162087	35
2023.46521101868	2.89205029392025	25.5
2024.15112661121	0.780547267649114	6
2024.83704220374	0.304264577293286	1
