time	distance
1970.21235235042	0
1972.9607347329	0
1975.70911711538	0
1978.45749949786	0
1981.20588188034	0
1983.95426426281	0
1986.70264664529	0.43620845897211
1989.45102902777	1.01867102766937
1992.19941141025	1.70356436053113
1994.94779379273	2.36070576712633
1997.69617617521	3.01208142050677
2000.44455855769	3.67307078882782
2003.19294094017	4.32940385601732
2005.94132332265	5.01218986592882
2008.68970570513	5.85078883371535
2011.4380880876	6.95238872593736
2014.18647047008	10.6722376910231
2016.93485285256	17.7829049686672
2019.68323523504	46.5367793981997
2022.43161761752	54.2107637849843
2025.18	54.2107637849843
