time	diffusion_coefficient	number_of_branches
2011.80464594572	0.647974836546025	0.16
2012.49056153825	3.26541699765743	0.86
2013.17647713078	4.22935557425481	3.35
2013.8623927233	5.14752890833508	9.51
2014.54830831583	3.55056357048806	22.35
2015.23422390836	2.78793307130231	50.42
2015.92013950089	3.32416437574124	70.34
2016.60605509341	6.37594474425451	68.95
2017.29197068594	6.13717541181888	64.64
2017.97788627847	4.52951663144743	63.88
2018.66380187099	3.53812527238178	48.28
2019.34971746352	6.49092946448732	31.7
2020.03563305605	6.91617299245469	28.89
2020.72154864857	8.2816764657598	37.26
2021.4074642411	9.14050058761283	49.6
2022.09337983363	48.5265233551904	41.87
2022.77929542616	38.8390967444798	35.07
2023.46521101868	2.99666176702985	25.02
2024.15112661121	1.065136107802	6.58
2024.83704220374	0.437273495727104	1
