mean_branch_dispersal_velocity	weighted_branch_dispersal_velocity	branch_dispersal_velocity_variation_among_branches	original_diffusion_coefficient	weighted_diffusion_coefficient	diffusion_coefficient_variation_among_branches	isolation_by_distance_signal_rS	isolation_by_distance_signal_rP1	isolation_by_distance_signal_rP2
7.34963981711035	2.94138585699682	2.49314904918226	26.230078327196	11.6599521907229	10.3414405598363	0.378078433793495	0.365289034730479	0.314237065652284
6.9970499659693	3.40409628854578	1.69906030895959	17.5151467936932	13.7244851162343	7.69605045938692	0.398169339951886	0.485605553808636	0.409369155021825
8.26983471649933	3.40363006781393	2.14437591918182	21.4710081685547	14.2165301623905	8.7828589781294	0.421227513636494	0.404598521264174	0.359005080175828
8.10684729735625	3.32671807283299	2.84625332342068	26.1819015422494	13.6101571985698	8.02173766805084	0.397911149076537	0.508487250885674	0.433693173322638
6.4116443457176	3.4131528577577	1.70734180425895	16.6950940495755	14.2055124021825	7.6784897452155	0.393460998033148	0.374801667792297	0.329295749600447
8.30751453644003	3.20683304901037	2.35226742170901	19.439064304135	13.1516398721707	8.55595590365732	0.398962903037703	0.485157679589644	0.411068856210262
7.29750996531808	3.36786632532726	1.67644962734918	16.0675765614569	13.9099044140807	7.10352179175726	0.397494968117219	0.510234280831332	0.434498433166469
7.46310120877557	3.21158367407898	1.83082545180303	21.1722287209065	13.2224378740838	7.86874852669879	0.386035754052024	0.334177240411073	0.290229192783083
8.70506797054652	3.2487274797575	2.70160108804149	15.5941103552637	12.9557523243715	5.98879959230326	0.398158276794239	0.449648924765093	0.383937468288947
6.41312746382572	3.11566402890228	1.81015429199565	15.9690518400257	12.8365432578276	6.804384889063	0.385962896995834	0.504590217685504	0.424290691777743
6.94247999569895	3.17524801038345	1.91383881546952	18.9109257912673	13.063089364725	7.64097167956788	0.401377213296648	0.45655355027912	0.390269566049027
7.48060563370444	3.20679778829357	2.48665715641703	17.3985216400144	12.7223487846651	6.94388076693051	0.389590110505786	0.496877476991586	0.425903037698124
7.35583777908915	3.56346810902101	1.6932581020856	19.4273191450143	14.6880872810448	7.86357238749013	0.403442008835604	0.416965636044588	0.365188719370465
8.37397661772846	3.59403244204319	2.11295219377011	21.6598878344433	14.6363539628042	8.14957519519187	0.405542392608015	0.459060702504869	0.393967377850198
7.88481854447069	3.25333078033203	1.80068854078909	21.1546643372871	13.4166701149097	7.81041413217248	0.401401811756231	0.403130877968565	0.346250436777813
6.6255595662261	3.35341615143684	1.99664327694448	19.347100857332	13.6262092228892	7.7083120660022	0.4057518879506	0.365105165778077	0.322667505274434
14.4904129782135	3.48917782182154	4.97178277252758	25.5492126653202	14.5141082188756	7.64339646113956	0.397564270820587	0.462444345653077	0.394948341462546
7.60078981438434	3.41971037943074	2.13084423510019	18.6393015849113	14.4023398639226	7.11355936674794	0.388312456859374	0.398506044388159	0.348765564916184
7.17031924593596	3.2039034815928	2.10682288432304	19.2750527722907	12.4229472599331	7.64003663437717	0.407526093461829	0.492181686228159	0.42086639785264
7.1370341734435	3.249996919474	1.97752375169716	21.4682443905997	13.5118111953707	7.55109615509557	0.396994345084582	0.402392249222241	0.349609120797919
7.4406499607134	3.19037436568439	2.20442204604047	18.090083559335	12.9085754037255	7.96832872505149	0.404167288923678	0.421063514937442	0.360571940726026
13.0841870301819	3.45386865368072	7.36946226974352	21.5010960921771	13.6863034175149	9.37377166533394	0.397732947411097	0.443141273779733	0.384917495579069
8.23613606912087	3.08493837091157	2.66049712383076	15.6976584140643	12.4301946246259	6.5984624590471	0.402502311109632	0.43137227584178	0.373985704115359
6.96764305216629	3.28496070243088	1.70531819547086	15.0368432641634	12.9359238431578	6.83721776765924	0.39292114117802	0.455863057485806	0.385061668126704
6.89073540986809	3.19487034839295	1.64170847475641	17.393613729381	12.8147810110683	7.16442598567559	0.40835903773597	0.44235048934271	0.379399530725898
7.35583157144052	3.3774901273989	1.7481074238066	19.0735141831598	13.3642228541445	8.02785959727899	0.420885665479066	0.434934359399296	0.381905077431019
7.45959526920025	3.33753056830234	1.9367169009081	23.9008549482938	13.7547676561425	8.86831229294553	0.384743811063992	0.424785050019652	0.363057150952111
6.75780608326003	3.32392971167201	1.85065990341367	21.1756451946438	14.1097849421381	7.90930878169471	0.391799762632427	0.391469416382514	0.335112541427458
6.69044122109944	2.71075948840532	2.40935173152543	17.4967199946945	11.7013462814496	6.5314312910514	0.417783786043133	0.458621127380584	0.39572231179346
7.56179955018929	3.44769349891661	1.83834396678269	16.0894651259717	14.1874397371046	6.25737667964736	0.399766050978327	0.414456355955038	0.36410885583115
7.21989754533942	3.39088160112881	1.55329516875988	14.9572589835646	13.4709850284821	6.83472727642045	0.398990406588087	0.443272733714902	0.378558905400108
7.79248404836656	3.59415765434842	1.67061243807336	16.3134364230433	14.162961495019	6.13149043779252	0.385792938036593	0.455740734278519	0.385883419900639
8.0029817581391	3.2083412592589	1.88792890627282	19.0455138708756	13.5023257962172	7.35045679010992	0.391089547831962	0.435813240627893	0.369344661129361
7.07455139399891	3.24294517011947	1.91674801527228	19.42808742897	13.4759181560095	7.71983268932653	0.413911564827696	0.491770152721454	0.42426114615609
5.66321298443619	3.04856622227036	1.79156217348359	16.5046703696581	13.2415721518307	7.14001842248306	0.41886606225741	0.442331838306575	0.383497583658402
7.63567925014039	3.45932199199779	1.69235771457947	16.5983878754226	13.9222488573694	6.38400102596332	0.396910061426005	0.509281889587695	0.436321972278436
