time	95%HPD_lower_value	95%HPD_higher_value
1970.21235235042	0	0
1972.9607347329	0	0
1975.70911711538	0	0
1978.45749949786	0	0.012038165308137
1981.20588188034	0	0.564339703550294
1983.95426426281	0	1.52854975413616
1986.70264664529	0	2.66969885140674
1989.45102902777	0	4.25645248376402
1992.19941141025	0	5.87774227668645
1994.94779379273	0.131850975487953	7.7944506877836
1997.69617617521	0.232354133578564	9.70717885195452
2000.44455855769	0.33285710348556	11.7403029840688
2003.19294094017	0.429839232808521	13.460744299711
2005.94132332265	0.508060210674614	15.3207274902211
2008.68970570513	0.634365166319322	16.4002955426538
2011.4380880876	1.34536511590545	18.5272569665657
2014.18647047008	4.7557968994324	23.1084421635087
2016.93485285256	11.5007172650838	28.5414836027604
2019.68323523504	17.122578624327	74.6027010165448
2022.43161761752	35.4198630430685	75.3357899128313
2025.18	35.4198630430685	75.3357899128313
