time	diffusion_coefficient	number_of_branches
1991.96482202784	NA	0
1993.66816448795	1.35588258446365	0.07
1995.37150694806	0.0307309725546987	0.02
1997.07484940817	0.289055858097563	0.04
1998.77819186828	0.502297370362217	0.12
2000.48153432839	38.0997205579578	0.32
2002.1848767885	6.26450619276133	0.62
2003.88821924861	65.4983823183438	0.74
2005.59156170872	16.1251538267333	0.91
2007.29490416883	158.621873325237	1.19
2008.99824662895	460.693259021633	1.56
2010.70158908906	74.3789795439261	6.26
2012.40493154917	8.55438877351024	2.78
2014.10827400928	2.58382630599814	13
2015.81161646939	2.92640970855707	61.77
2017.5149589295	5.5121523305058	63.15
2019.21830138961	21.2541784533471	47.67
2020.92164384972	9.74045958016996	55.46
2022.62498630983	73.2525201165157	40.02
2024.32832876994	1.28624027755247	4.24
