time	diffusion_coefficient	number_of_branches
1991.96482202784	NA	0
1993.66816448795	1.0315798321132	0
1995.37150694806	0.0307309725546987	0
1997.07484940817	0.289055858097563	0
1998.77819186828	0.366879724262329	0
2000.48153432839	1.23666251157904	0
2002.1848767885	0.835447540259109	0
2003.88821924861	4.46607752182162	0
2005.59156170872	1.78757100126767	0
2007.29490416883	19.6082093682679	0
2008.99824662895	143.870603203014	0
2010.70158908906	8.09095127866305	6
2012.40493154917	3.86248278992333	1
2014.10827400928	1.90064371385207	13
2015.81161646939	2.82855208644486	62
2017.5149589295	6.55392145396824	63
2019.21830138961	17.1085803181847	48
2020.92164384972	8.14501483203292	55
2022.62498630983	59.7407251263501	41
2024.32832876994	0.973077715470627	4
