time	distance_tree2700000	distance_tree5400000	distance_tree8100000	distance_tree10800000	distance_tree13500000	distance_tree16200000	distance_tree18900000	distance_tree21600000	distance_tree24300000	distance_tree27000000	distance_tree29700000	distance_tree32400000	distance_tree35100000	distance_tree37800000	distance_tree40500000	distance_tree43200000	distance_tree45900000	distance_tree48600000	distance_tree51300000	distance_tree54000000	distance_tree56700000	distance_tree59400000	distance_tree62100000	distance_tree64800000	distance_tree67500000	distance_tree70200000	distance_tree72900000	distance_tree75600000	distance_tree78300000	distance_tree81000000	distance_tree83700000	distance_tree86400000	distance_tree89100000	distance_tree91800000	distance_tree94500000	distance_tree97200000	distance_tree99900000	distance_tree102600000	distance_tree105300000	distance_tree108000000	distance_tree110700000	distance_tree113400000	distance_tree116100000	distance_tree118800000	distance_tree121500000	distance_tree124200000	distance_tree126900000	distance_tree129600000	distance_tree132300000	distance_tree135000000	distance_tree137700000	distance_tree140400000	distance_tree143100000	distance_tree145800000	distance_tree148500000	distance_tree151200000	distance_tree153900000	distance_tree156600000	distance_tree159300000	distance_tree162000000	distance_tree164700000	distance_tree167400000	distance_tree170100000	distance_tree172800000	distance_tree175500000	distance_tree178200000	distance_tree180900000	distance_tree183600000	distance_tree186300000	distance_tree189000000	distance_tree191700000	distance_tree194400000	distance_tree197100000	distance_tree199800000	distance_tree202500000	distance_tree205200000	distance_tree207900000	distance_tree210600000	distance_tree213300000	distance_tree216000000	distance_tree218700000	distance_tree221400000	distance_tree224100000	distance_tree226800000	distance_tree229500000	distance_tree232200000	distance_tree234900000	distance_tree237600000	distance_tree240300000	distance_tree243000000	distance_tree245700000	distance_tree248400000	distance_tree251100000	distance_tree253800000	distance_tree256500000	distance_tree259200000	distance_tree261900000	distance_tree264600000	distance_tree267300000	distance_tree270000000
1991.11315079778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1992.81649325789	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.23157500724703	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1994.519835718	0	0	0	0	0	0.11290043907342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.25678056062518	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.78013218855893	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17.6244501780405	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1996.22317817811	0	0	0	0	0.557045100947172	1.45279679247369	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.8300333563328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.42453662031014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52.502426411868	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1997.92652063822	0	0	0	0	1.35900094125805	2.79267906864557	0	0	0	0	0	0	0	0	0	0	0	2.5449938947648	0	0	0	0	0	0	0	0	0	0	0	14.4034822181356	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.0689217328028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.246252053103436	0	0	0	0	0	0	0	0	0	0	0	0	87.3615052789555	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1999.62986309834	0	0.182306642230057	0	0	2.16095746839351	4.13254727910105	0	0	0	0	0	0	0	0	0	0	2.33866981645853	7.26443782745211	0	0	0	0	0	0	0	0	0	0	0	19.9771265711153	10.8980084684189	0	0.0101400556249389	0	0	0	0	0.738988329768241	0	0	0	0	0	0	0	0	0	0	13.7132874846413	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.9230890009424	0	0	0.969967152421947	0	0	0	0	0	0	0	0	0	1.62236178698687	0	0	122.201412427166	0	0	1.71409908014584	3.16688407235126	0	0	3.81437029216739	0	0	0	0	0.13054773776298	0	0	0	0	0	0	0
2001.33320555845	11.5724830482147	2.67958076027082	49.8479073182152	0	2.96291468403701	5.47240141863445	0.792204293736195	8.1503850398975	0	0	0.447064609635265	0	0	0	0	0	9.2170049267494	11.9838815245593	0	0	0	3.57446719443096	0	3.71556604960983	0	0	0	0	0	25.5509658369088	23.3093024522721	0	0.651314426969887	0	0	0	1.61380168087537	2.24128591632613	3.51906779127758	0	0	0	0	0	0	0	0	0	17.3576338363017	0	3.38132182069177	0	0	0	2.22810626681638	0	0	0	0	0	58.650475352032	0	0	0	32.1914622050739	0	0	1.69367772187537	0	0	0	0	0	0	0	0	0	34.6986059460026	0	3.81985360875827	157.021872923602	0	0	8.47027898532258	6.96593125772098	0.582276390890949	0	9.31051625577392	0	21.7196619105795	0	0	3.58489764996088	0	0	0	0	0	0	0.630032647925677
2003.03654801856	93.9422812029026	151.58495323012	196.366151918108	3.56206705860938	55.5408703921223	203.811697080508	1.88518789635767	66.6744250067626	0	0	6.58070449470672	0	0	0	0	6.34019021421549	16.0953386208262	16.7033249887218	0	4.79641205755048	3.64411722505902	11.0694349651476	0	12.9480156861114	0	0	0	0	0	28.0019577695319	35.7207261766527	0	1.29248296803383	0	0	4.19633890815442	8.99338953497639	3.74361533412608	10.7278955321573	6.14166778021711	0	5.38732253756219	4.21585938924161	2.30519209993385	0	0	0	0.0957576503327915	21.0019607493563	0	9.29081196696634	0.390747945977592	1.17375875674313	0	63.9287813615593	1.35860336728337	0	3.43175873702028	0	0	152.435227881992	0	2.88532109862028	0.261408235594819	70.5321864810275	5.14571270575089	0	9.25063348339115	0	0	6.94054904555121	0	0	0	1.23232522648486	0	0	69.1099499404492	2.11903838322773	10.1524907419019	184.449040555087	0	0	15.2264567246302	10.7649777071354	28.9943134792523	0.327462356009962	14.8068462105733	0	48.5278232461679	0.0987827981625099	0	7.03906921448597	11.7353354890107	6.33163131787489	2.7170377812826	3.06642899267765	0	0	3.95940006762755
2004.73989047867	176.42684181846	195.448390559848	197.478987855322	61.475407024921	111.12218536949	204.159673103933	121.793374591294	131.608637936198	0.380476908655617	9.02438534723133	14.7450347616118	0	0.301265828990269	1.45680245024205	0.872579674651782	28.7858355780134	22.9736708957054	21.422768218493	0.653820407335368	14.0240516203645	12.4295443559139	18.56439067191	74.3801925770751	22.1804634059895	0	0	0	0.42126843604821	0	96.8668648978351	48.1322787437218	2.75674686066354	1.93364556726825	13.6137006709494	0	10.2786130124419	16.372945785662	6.74127044597956	17.9367616296015	20.0541703316958	21.0073803409438	12.2404823480571	11.7868330396328	13.0439068524279	5.58948674168095	0	0	23.3492220383623	24.6462681832709	74.0025261431156	15.2002948064992	1.34805335411579	9.30543043783045	4.72849843579716	135.187644370716	9.00430046871168	36.6399948905996	12.4381079748394	0	4.34139651014427	195.453192940059	31.1494435788663	10.6877952460346	1.60516687023499	108.848120163485	63.077895391867	0	16.807985538253	10.2683881394062	0	15.3964738783327	0	0	9.2102244507976	10.5532551698101	0	25.711491813464	103.501640551408	76.7385141942022	16.485127872879	185.671316438362	0	0	21.9826322902952	14.5640234188224	182.848190025718	1.76695569306955	19.8999398756431	0	49.3187104041744	0.460042720786904	0	14.3555851757879	48.1031083187889	13.5138989413354	79.6771201141992	10.7129238780964	0	0	7.28893566331911
2006.44323293878	202.052481743742	197.316700228974	198.591833363329	180.815619147287	166.755630807281	204.507649087341	203.909234290305	196.47069174489	3.80482356311907	13.7143796962982	22.9093631969748	16.4658714655918	6.47241199345718	6.66937137876567	6.67223834800535	48.600060469294	29.852001745677	26.1422112130647	11.6621975678425	23.2516813136113	21.2149247318619	159.726225526783	158.036980392187	31.4129091992356	0	0	0	3.1719536012322	14.5984188909009	218.242418205959	54.4606139461446	17.0652393734486	2.57480221878888	34.9584812957035	2.46166620010226	18.9604405016854	23.7524702946138	15.0408997780233	21.8060468773715	30.5623422882995	76.7588631673073	19.0936395123507	19.3577256952296	23.7824846576233	70.1058636300372	5.85181541103406	4.91874410703442	88.6860643546227	28.2905560986683	162.204646205644	21.1097703157632	11.1178984389949	18.9158418133613	17.0692734262255	186.290623212493	16.6499675240107	129.44420610221	21.4444565183679	3.61325727851233	78.1338075428297	196.048897433063	98.0988341778323	18.9953573448501	2.94889987854555	147.138914633608	120.954262792599	0.0433165118512457	24.3653371899365	138.732535283387	0	21.927839078712	5.27281733425481	19.1411807371113	40.2357872851586	19.9415778636551	0	34.6830850457874	137.873419241472	159.180246265093	22.8177650009658	186.893566195111	7.03357646373678	5.57954118917429	28.7388056740374	18.3630683901529	201.392285580137	3.20642213159065	21.0249764193664	1.59856815744785	66.2248936446187	5.57700122846646	58.6043981060447	22.9545626656962	84.4498513078322	20.6961492786983	156.542653185268	18.3593865054425	3.38715590607713	7.21355347243871	14.4628758505655
