time	distance
2011.46168814946	0
2012.14760374199	0.0373718288017376
2012.83351933451	0.552742886264036
2013.51943492704	3.22949733497993
2014.20535051957	8.85166360269411
2014.8912661121	14.5467955185798
2015.57718170462	19.0063906954955
2016.26309729715	22.6043127597668
2016.94901288968	31.0416877786063
2017.6349284822	31.9493820920644
2018.32084407473	33.3824274598403
2019.00675966726	35.7620404966073
2019.69267525978	39.0372309102545
2020.37859085231	39.1347097861882
2021.06450644484	42.5668744462691
2021.75042203737	51.1005562729396
2022.43633762989	96.7483290212567
2023.12225322242	96.7483290212567
2023.80816881495	96.7483290212567
2024.49408440747	96.7483290212567
2025.18	96.7483290212567
