"statistic","summary"
"mean_branch_dispersal_velocity","8.12 [6.66, 10.06]"
"weighted_branch_dispersal_velocity","4.57 [4.05, 5.17]"
"branch_dispersal_velocity_variation_among_branches","1.78 [1.36, 2.90]"
"original_diffusion_coefficient","15.04 [10.92, 19.69]"
"weighted_diffusion_coefficient","14.16 [12.13, 16.13]"
"diffusion_coefficient_variation_among_branches","7.09 [5.69, 9.89]"
"isolation_by_distance_signal_rS","0.20 [0.13, 0.24]"
"isolation_by_distance_signal_rP1","0.16 [0.12, 0.18]"
"isolation_by_distance_signal_rP2","0.20 [0.16, 0.24]"
