time	95%HPD_lower_value	95%HPD_higher_value
1970.21235235042	0	0
1972.9607347329	0	0
1975.70911711538	0	0
1978.45749949786	0	0.012038165308137
1981.20588188034	0	0.564339703550294
1983.95426426281	0	1.52854975413616
1986.70264664529	0	2.66969885140674
1989.45102902777	0	4.25645248376402
1992.19941141025	0	5.87774227668645
1994.94779379273	0.131850975487953	7.7944506877836
1997.69617617521	0.232354133578564	9.70717885195452
2000.44455855769	0.33285710348556	11.7403029840688
2003.19294094017	0.429839232808521	13.460744299711
2005.94132332265	0.533862616265599	15.4662754439956
2008.68970570513	0.634365166319322	18.8410611652317
2011.4380880876	1.60484695236422	22.9194427358729
2014.18647047008	9.20992086418917	36.110228175142
2016.93485285256	28.5077697310524	58.9443416805595
2019.68323523504	38.8357909503732	97.6357371403818
2022.43161761752	85.0571876280812	127.682662560437
2025.18	85.0571876280812	127.682662560437
