time	95%HPD_lower_value	95%HPD_higher_value
1971.58654354166	NA	NA
1974.33492592414	0.000130438034885553	0.0345537302296058
1977.08330830662	0.0000434086136344288	0.0235297235339018
1979.8316906891	0.0000601561859652771	0.0261628594222112
1982.58007307158	0.0000616518735731418	0.031285905755758
1985.32845545405	0.0000441486410855062	0.0814769337617956
1988.07683783653	0.0000361937646375588	0.0375896158006584
1990.82522021901	0.000364243753642831	0.736654463286117
1993.57360260149	0.00190486368248984	0.00190486368248984
1996.32198498397	NA	NA
1999.07036736645	NA	NA
2001.81874974893	NA	NA
2004.56713213141	0.00327106190586628	0.365475146083072
2007.31551451389	0.00183619615049774	0.332535538194746
2010.06389689637	0.00646829180969351	0.415685947800145
2012.81227927884	0.00162770218969538	13.7086885519735
2015.56066166132	1.03871031627195	4.97789822983346
2018.3090440438	1.72509281743956	8.78252598467847
2021.05742642628	2.7451959580109	10.9803566444906
2023.80580880876	0.400584692054082	3.8530079659254
