time	95%HPD_lower_value	95%HPD_higher_value
2011.46168814946	0	0
2012.14760374199	0	0
2012.83351933451	0	4.70337551084722
2013.51943492704	0	9.69532468254718
2014.20535051957	0	15.7328149274113
2014.8912661121	9.20045292013682	23.0591697108489
2015.57718170462	12.4704967762741	25.512704214712
2016.26309729715	16.2090792428921	31.1916853149585
2016.94901288968	23.9999967742212	39.4013699047371
2017.6349284822	24.654918109621	39.6598671690934
2018.32084407473	25.7057041833951	41.5720775768332
2019.00675966726	26.1793393980078	45.6424801222569
2019.69267525978	29.0452675258273	49.5515734437948
2020.37859085231	29.0452675258273	49.5515734437948
2021.06450644484	31.3276998193422	57.0329167363213
2021.75042203737	36.8959821149776	72.530730420938
2022.43633762989	80.2689719416733	119.740396833479
2023.12225322242	80.2689719416733	119.740396833479
2023.80816881495	80.2689719416733	119.740396833479
2024.49408440747	80.2689719416733	119.740396833479
2025.18	80.2689719416733	119.740396833479
