time	distance
2011.46168814946	0
2012.14760374199	0
2012.83351933451	0
2013.51943492704	2.27126350434871
2014.20535051957	7.92560453534266
2014.8912661121	10.4058295750354
2015.57718170462	11.6165328142029
2016.26309729715	12.3465453067402
2016.94901288968	16.3064577082774
2017.6349284822	16.3345962498076
2018.32084407473	16.3345962498076
2019.00675966726	16.3345962498076
2019.69267525978	16.3345962498076
2020.37859085231	16.3608972209189
2021.06450644484	16.6974503605989
2021.75042203737	18.1733462723111
2022.43633762989	47.2269802632919
2023.12225322242	47.2269802632919
2023.80816881495	47.2269802632919
2024.49408440747	47.2269802632919
2025.18	47.2269802632919
