time	diffusion_coefficient	number_of_branches
1971.58654354166	NA	0
1974.33492592414	0.00274824657319297	0
1977.08330830662	0.00314127189441384	0
1979.8316906891	0.00171433997396462	0
1982.58007307158	0.0033057870987422	0
1985.32845545405	0.00457453699239899	0
1988.07683783653	0.00408489924696775	0
1990.82522021901	0.0130092477355968	0
1993.57360260149	0.00190486368248984	0
1996.32198498397	NA	0
1999.07036736645	NA	0
2001.81874974893	NA	0
2004.56713213141	0.0257292412774808	0
2007.31551451389	0.0401783964283451	0
2010.06389689637	0.0824043721252523	0
2012.81227927884	2.24237932671644	3
2015.56066166132	2.41692435550472	57
2018.3090440438	3.9082718673452	62
2021.05742642628	6.03642813283584	60
2023.80580880876	1.4763449936144	16
