null_raster,layer_R
1,67.638293533195
1,46.9579951803839
1,53.8046814329388
1,60.6278034704944
1,55.892898754862
1,49.4672758147985
1,51.169055274729
1,57.6972841842183
1,69.3271791471149
1,55.1437240216512
1,59.0426833800488
1,67.3955507473734
1,59.4262929695052
1,51.606243553422
1,53.2540487933891
1,52.0723465632086
1,54.4620527814273
1,64.5860752815273
1,58.6889589394319
1,57.2157932515845
1,50.6575842587207
1,51.2800571877802
1,55.308518855645
1,60.2488134436233
1,56.2919969721459
1,48.0134389498463
1,58.9723389010381
1,61.3010110790005
1,77.7025779912904
1,63.8029380023683
1,51.2579340267507
1,62.7407496683427
1,50.7055804607404
1,57.7456072296299
1,54.1632420504053
1,64.3016160014546
1,59.4739630930253
1,73.1891286706762
1,67.4965554976219
1,54.9851561829498
1,59.1242521858866
1,56.7875837789823
1,57.9357780938263
1,51.443363196207
1,55.6401342627121
1,53.3082111931498
1,54.9776804276294
1,61.5594910690465
1,58.6245148011035
1,63.0778202082924
1,47.7975067425099
1,54.6010553444902
1,54.4347506545916
1,49.6547746201084
1,49.8507127761841
1,54.2794875968438
1,65.3595912260551
1,47.8662567822193
1,54.7125996176293
1,63.5084820932902
1,54.5290902531594
1,55.7428909763948
1,49.2214409271605
1,55.6927756579663
1,52.4921253777201
1,54.6521017836222
1,60.5172983859586
1,65.1447209335431
1,61.0039256782662
1,60.7297970530105
1,55.3216675247349
1,53.5676944068674
1,52.3575245821436
1,62.024532887716
1,49.3171894582984
1,60.4187757707621
1,72.4372146430683
1,63.8811427822699
1,71.8675117720516
1,74.0196078238634
1,54.8087700912633
1,56.6192202584328
1,54.0939487841349
1,62.09843660947
1,60.015913468579
1,57.2559261875347
1,49.4477474420958
1,53.5043604072857
1,53.6817815897815
1,59.0460916720966
1,62.8858077729522
1,49.4904487043517
1,56.8655237874887
1,59.5897228058695
1,59.9270248478183
1,52.9903200266711
1,71.3576232076912
1,58.0179406546896
1,59.9945146834077
1,52.3579732614979
