null_raster,layer_C
1,7.66382934371766
1,5.59579949737002
1,6.28046812539215
1,6.96278031816255
1,6.48928985986286
1,5.84672754901261
1,6.01690550753688
1,6.66972840686707
1,7.8327178658072
1,6.41437239329563
1,6.80426829382014
1,7.63955507384226
1,6.84262929190548
1,6.06062432197988
1,6.22540486672633
1,6.10723462904969
1,6.34620524551274
1,7.3586074764818
1,6.76889587628556
1,6.62157932930839
1,5.9657584152124
1,6.02800570331743
1,6.43085186107167
1,6.92488131140686
1,6.5291996706061
1,5.70134387726653
1,6.79723385739245
1,7.03010109016106
1,8.67025778318022
1,7.28029377183817
1,6.02579339046934
1,7.17407494885115
1,5.97055801555972
1,6.67456071490721
1,6.31632417908301
1,7.3301615885907
1,6.84739629034296
1,8.21891283582095
1,7.6496554963011
1,6.39851559551096
1,6.81242521956512
1,6.57875835160686
1,6.69357778635448
1,6.04433628967597
1,6.4640134038174
1,6.23082108098899
1,6.39776801452702
1,7.05594909354993
1,6.76245144813134
1,7.20778200040498
1,5.67975065285028
1,6.36010550472834
1,6.34347503421249
1,5.8654774460074
1,5.88507124344237
1,6.32794873299452
1,7.43595908970049
1,5.6866256482772
1,6.37125995338166
1,7.25084817206087
1,6.35290898519979
1,6.47428908364358
1,5.82214407872014
1,6.46927757962979
1,6.14921252027713
1,6.36521016574964
1,6.95172981922944
1,7.41447208155544
1,7.00039252120073
1,6.97297967705008
1,6.43216672244739
1,6.25676940610385
1,6.13575244356748
1,7.10245326395328
1,5.83171893676666
1,6.94187754637575
1,8.14372143973263
1,7.28811422468452
1,8.08675114530753
1,8.3019607567543
1,6.38087698438323
1,6.56192200501218
1,6.30939483764635
1,7.10984364182469
1,6.90159132212095
1,6.62559259954979
1,5.8447747027101
1,6.25043600044966
1,6.26817814115778
1,6.8046091493893
1,7.18858074043391
1,5.84904486083333
1,6.58655237826064
1,6.8589722447021
1,6.89270246883301
1,6.19903196409701
1,8.03576229700863
1,6.70179405065934
1,6.89945144702144
1,6.13579730043639
