LR1_coefficients_null_raster	LR1_coefficients_layer_C	LR1_R2_null_raster	LR1_R2_layer_C	LR1_Q_layer_C	LR2_coefficients_null_raster	LR2_coefficients_layer_C	LR2_R2_null_raster	LR2_R2_layer_C	LR2_Q_layer_C
0.00900567904249643	0.03071139655233	0.0852539411500502	0.0430329783988836	-0.0422209627511667	0.000249312213201075	0.00418141520947521	0.0318336213661083	0.0153902686131147	-0.0164433527529936
0.00709261107629482	0.0318639889883048	0.0449666710408697	0.0401635237042788	-0.00480314733659084	0.000224017770843076	0.0043834906557941	0.0165605544880432	0.0116704147187236	-0.00489013976931959
0.00769847013371499	0.0419112210951313	0.0335535666281145	0.0471821231381396	0.013628556510025	0.000196993991523941	0.00608977586975593	0.00738478822588077	0.0165749598003903	0.00919017157450957
0.0079298758932325	0.0369261762064577	0.055084576564951	0.0549365371068848	-0.000148039458066102	0.000188869855617948	0.00441446832652844	0.012215939462694	0.0149089986046975	0.0026930591420035
0.0101198371814072	0.0486570053378755	0.06595186519419	0.0765481775051751	0.010596312310985	0.000253950686140568	0.00498449752832274	0.0153472086003539	0.0167528362105628	0.00140562761020895
0.0103815247285852	0.0398995902226599	0.102746853337434	0.0714657304688322	-0.0312811228686018	0.000359120810372496	0.00492401537432755	0.0473112432349294	0.0207137727227395	-0.0265974705121899
0.00913742416651822	0.0326786089354129	0.0841101821855359	0.0600903939764936	-0.0240197882090423	0.000246866085276892	0.00408656695912819	0.0239262214007748	0.0193700754535273	-0.00455614594724757
0.00542119302342565	0.0169582572379039	0.0269398561823459	0.011983486225923	-0.014956369956423	0.00017305460116603	0.000775965340206222	0.0112881689540197	0.000529432294907377	-0.0107587366591123
0.01539722801696	0.0415834257880102	0.165467990766538	0.0767439922536904	-0.088723998512848	0.000652824867390547	0.00745808125267662	0.0927988747130182	0.0517108965400044	-0.0410879781730138
0.010737504343198	0.0402605535573592	0.0585023553875123	0.0432960280203221	-0.0152063273671902	0.000323571059226193	0.00555664419595129	0.0190144301448975	0.0157885850358244	-0.00322584510907315
0.00549878992216957	0.0292141037070328	0.0245849513592039	0.0312156344482027	0.00663068308899882	9.87359729298432e-05	0.00279316515083755	0.00381890307275877	0.00648274627218071	0.00266384319942194
0.0115261337160456	0.0366708788993889	0.122926690580589	0.0646328407066612	-0.0582938498739279	0.000367525632975245	0.0064282723493478	0.055723259915491	0.0443589508547671	-0.0113643090607239
0.0127863386901262	0.0462629856607138	0.0995359562127789	0.06461437589821	-0.0349215803145689	0.000457433698441386	0.00602289387443021	0.0457991643310933	0.0218040393080457	-0.0239951250230475
0.0100008336131982	0.0440516553833932	0.0844613490272275	0.0732902216095391	-0.0111711274176884	0.000288374849994646	0.00620598945140874	0.0317780312418189	0.0302659490261472	-0.00151208221567169
0.0111541222942896	0.0394116783929452	0.0743417296413102	0.0463907716110103	-0.0279509580303	0.000322477723366209	0.00480816977061821	0.0241370622302761	0.0127629525893968	-0.0113741096408793
0.000783351558969244	-0.000831726882247549	0.00116282351688106	4.87743078530136e-05	-0.00111404920902805	2.18234724131565e-05	-0.000871750565621957	0.000695173986111855	0.00155341006530696	0.0008582360791951
0.00877267361114184	0.0379608964299284	0.0556724246546388	0.0618151473334507	0.00614272267881187	0.00025601475533184	0.00580787876899142	0.0159534394381643	0.0263692567229252	0.0104158172847608
0.0115574832127823	0.0522287019177793	0.0953785462426279	0.0973025389060694	0.00192399266344148	0.00039216720633382	0.00806396687553257	0.0410470455932175	0.0473154720223581	0.0062684264291406
