group,date,decimal-date,root-to-tip-distance,label
"Global","2024-08-07","2024.5983606557377","0.008424576183625061","219_2024"
"Global","2010-11-19","2010.8821917808218","0.00582521181637494","3553_2010"
"Global","2012-05-08","2012.3497267759562","0.0077446768163749406","1203037"
"Global","2011-02-26","2011.1534246575343","0.00682537981637494","1101786"
"Global","2021-03-09","2021.1835616438357","0.00682538481637494","75_2021"
"Global","2011-03-03","2011.1671232876713","0.00707021481637494","1101787"
"Global","2019-09-14","2019.7013698630137","0.0071641648163749405","289_2019"
"Global","2019-07-23","2019.5561643835617","0.007471307816374941","225_2019"
"Global","2019-10-07","2019.7643835616439","0.0070805128163749405","312_2019"
"Global","2021-03-05","2021.172602739726","0.00760877381637494","73_2021"
"Global","2021-03-05","2021.172602739726","0.00760878581637494","71_2021"
"Global","2021-02-26","2021.1534246575343","0.00755687781637494","68_2021"
"Global","2021-03-18","2021.2082191780821","0.00770577081637494","107_2021"
"Global","2021-06-10","2021.4383561643835","0.007793188816374939","202_2021"
"Global","2021-08-09","2021.6027397260275","0.0076961688163749405","250_2021"
"Global","2021-08-09","2021.6027397260275","0.0076961688163749405","251_2021"
"Global","2021-04-12","2021.2767123287672","0.00734650481637494","147_2021"
"Global","2021-02-05","2021.0958904109589","0.00734650481637494","34_2021"
"Global","2021-02-22","2021.1424657534246","0.00734650481637494","52_2021"
"Global","2015-07-13","2015.5287671232877","0.00631982481637494","367_2015"
"Global","2015-11-10","2015.8575342465754","0.006629608816374939","696_2015"
"Global","2016-01-27","2016.0710382513662","0.00670380981637494","22_2016"
"Global","2016-03-01","2016.1639344262296","0.00678535081637494","69_2016"
"Global","2016-07-21","2016.551912568306","0.006703808816374939","386_2016"
"Global","2017-04-09","2017.268493150685","0.00717285081637494","112_2017"
"Global","2017-04-28","2017.3205479452056","0.00732933781637494","159_2017"
"Global","2016-06-16","2016.4562841530055","0.00678101181637494","302_2016"
"Global","2015-03-22","2015.2191780821918","0.00662444181637494","73_2015"
"Global","2015-11-13","2015.8657534246574","0.00662841281637494","699_2015"
"Global","2017-10-04","2017.7561643835616","0.00671446781637494","319_2017"
"Global","2015-12-02","2015.9178082191781","0.00678078481637494","711_2015"
"Global","2015-09-26","2015.7342465753425","0.0066244458163749395","609_2015"
"Global","2015-10-13","2015.7808219178082","0.00678073781637494","653_2015"
"Global","2015-11-25","2015.8986301369864","0.00678071681637494","704_2015"
"Global","2016-10-11","2016.775956284153","0.00693667481637494","481_2016"
"Global","2017-01-03","2017.0054794520547","0.00662405781637494","2_2017"
"Global","2017-03-09","2017.1835616438357","0.0067021968163749395","101_2017"
"Global","2016-09-26","2016.7349726775956","0.0067021968163749395","468_2016"
"Global","2017-11-23","2017.8931506849315","0.00740196981637494","375_2017"
"Global","2015-09-07","2015.682191780822","0.007480126816374941","560_2015"
"Global","2018-04-23","2018.3068493150686","0.00709176781637494","162_2018"
"Global","2018-03-17","2018.2054794520548","0.007248040816374941","92_2018"
"Global","2017-09-14","2017.7013698630137","0.00685730081637494","298_2017"
"Global","2018-11-14","2018.868493150685","0.00685730081637494","435_2018"
"Global","2017-10-02","2017.7506849315068","0.00693543981637494","315_2017"
"Global","2019-06-13","2019.4465753424658","0.00701359481637494","183_2019"
"Global","2019-01-17","2019.0438356164384","0.00716997281637494","9_2019"
"Global","2016-02-04","2016.0928961748634","0.00678175781637494","32_2016"
"Global","2016-02-17","2016.1284153005465","0.0068599418163749395","44_2016"
"Global","2016-04-04","2016.2568306010928","0.00654673081637494","130_2016"
"Global","2017-03-17","2017.2054794520548","0.00654673081637494","91_2017"
"Global","2017-04-13","2017.2794520547945","0.00685818981637494","145_2017"
"Global","2020-02-10","2020.1092896174864","0.007524660816374941","41_2020"
"Global","2020-01-31","2020.0819672131147","0.00719954481637494","23_2020"
"Global","2017-12-15","2017.9534246575342","0.00709175181637494","402_2017"
"Global","2018-03-25","2018.227397260274","0.00762042581637494","107_2018"
"Global","2018-05-30","2018.4082191780822","0.00748248481637494","247_2018"
"Global","2018-03-10","2018.186301369863","0.00724804281637494","89_2018"
"Global","2018-05-02","2018.331506849315","0.00709205681637494","186_2018"
"Global","2015-04-03","2015.2520547945205","0.007326679816374941","114_2015"
"Global","2019-08-08","2019.6","0.00732649781637494","242_2019"
"Global","2019-08-06","2019.5945205479452","0.00756133381637494","240_2019"
"Global","2019-07-30","2019.5753424657535","0.00748281781637494","244_2019"
"Global","2019-07-24","2019.558904109589","0.00756106781637494","227_2019"
"Global","2019-08-01","2019.5808219178082","0.00779570981637494","236_2019"
"Global","2017-08-20","2017.6328767123289","0.007746958816374941","279_2017"
"Global","2019-10-29","2019.8246575342466","0.0074151078163749405","336_2019"
"Global","2019-04-20","2019.2986301369863","0.00740491781637494","121_2019"
"Global","2019-02-15","2019.123287671233","0.00740481781637494","48_2019"
"Global","2021-06-26","2021.482191780822","0.00746341881637494","213_2021"
"Global","2021-02-07","2021.1013698630136","0.0077176358163749395","31_2021"
"Global","2021-03-29","2021.2383561643835","0.0077176358163749395","126_2021"
"Global","2020-12-17","2020.9590163934427","0.007639286816374939","149_2020"
"Global","2022-03-21","2022.2164383561644","0.00788096981637494","69_2022"
"Global","2021-04-20","2021.2986301369863","0.00763928581637494","146_2021"
"Global","2024-04-13","2024.2814207650274","0.008815413816374941","151_2024"
"Global","2024-02-13","2024.1174863387978","0.008577790816374942","54_2024"
"Global","2023-05-23","2023.3890410958904","0.008342720816374943","218_2023"
"Global","2023-10-06","2023.7616438356165","0.008342674816374943","348_2023"
"Global","2023-10-18","2023.7945205479452","0.008420835816374943","358_2023"
"Global","2022-06-17","2022.4575342465753","0.008108432816374942","158_2022"
"Global","2023-06-21","2023.468493150685","0.008420926816374944","273_2023"
"Global","2025-03-08","2025.1808219178083","0.008200675816374943","40_2025"
"Global","2024-04-27","2024.3196721311476","0.008577593816374945","162_2024"
"Global","2024-02-02","2024.0874316939892","0.008733962816374945","41_2024"
"Global","2018-02-10","2018.109589041096","0.00655090281637494","52_2018"
"Global","2017-01-25","2017.0657534246575","0.006781396816374939","46_2017"
"Global","2016-04-21","2016.3032786885246","0.0065469468163749395","166_2016"
"Global","2018-03-20","2018.213698630137","0.006947799816374939","93_2018"
"Global","2016-09-24","2016.7295081967213","0.006703246816374939","462_2016"
"Global","2017-09-14","2017.7013698630137","0.00662509481637494","302_2017"
"Global","2019-06-11","2019.441095890411","0.007250585816374939","182_2019"
"Global","2019-08-21","2019.6356164383562","0.0072504208163749395","272_2019"
"Global","2019-10-20","2019.8","0.00776004281637494","320_2019"
"Global","2018-10-08","2018.7671232876712","0.006937696816374939","375_2018"
"Global","2019-02-13","2019.1178082191782","0.007094050816374939","46_2019"
"Global","2018-10-06","2018.7616438356165","0.00701587881637494","374_2018"
"Global","2018-01-24","2018.0630136986301","0.006546942816374939","22_2018"
